transaction_id,customer_id,payment_provider,transaction_date,settlement_date,amount,currency,transaction_type,regulatory_classification,bank_amount,bank_settlement_date,ledger_amount,posting_date,bank_record_count,eur_rate,amount_eur,bank_difference,ledger_difference,settlement_days,anomaly_score,is_anomaly,reconciliation_status
TX-100011,C-1081,P-03,2026-07-09,2026-07-10,219.54,EUR,Refund,Operational,219.54,2026-07-10,219.54,2026-07-10,1,1.0,219.54,0.0,0.0,1.0,47.5,False,Matched
TX-100012,C-1004,P-02,2026-07-21,2026-07-22,1086.15,EUR,Transfer,PSD2,,,1086.15,2026-07-22,0,1.0,1086.15,,0.0,,70.6,True,Unmatched
TX-100013,C-1068,P-02,2026-07-01,2026-07-02,226.79,GBP,Refund,EMIR,226.79,2026-07-02,226.79,2026-07-02,1,1.18,267.61,0.0,0.0,1.0,43.4,False,Matched
TX-100014,C-1054,P-01,2026-07-14,2026-07-15,191.57,GBP,Refund,PSD2,191.57,2026-07-15,191.57,2026-07-15,1,1.18,226.05,0.0,0.0,1.0,43.0,False,Matched
TX-100015,C-1066,P-02,2026-07-01,2026-07-02,1756.42,EUR,Refund,PSD2,1756.42,2026-07-02,1756.42,2026-07-02,1,1.0,1756.42,0.0,0.0,1.0,71.4,True,Matched
TX-100016,C-1002,P-02,2026-07-03,2026-07-05,324.8,EUR,Card payment,PSD2,324.8,2026-07-05,324.8,2026-07-05,1,1.0,324.8,0.0,0.0,2.0,43.2,False,Matched
TX-100017,C-1062,P-02,2026-07-16,2026-07-18,303.88,EUR,Transfer,Operational,303.88,2026-07-18,303.88,2026-07-18,1,1.0,303.88,0.0,0.0,2.0,43.1,False,Matched
TX-100018,C-1072,P-01,2026-07-09,2026-07-10,277.2,USD,Transfer,,277.2,2026-07-10,277.2,2026-07-10,1,0.92,255.02,0.0,0.0,1.0,43.0,False,Matched
TX-100019,C-1061,P-02,2026-07-10,2026-07-12,134.88,EUR,Refund,Operational,134.88,2026-07-12,134.88,2026-07-12,1,1.0,134.88,0.0,0.0,2.0,46.5,False,Matched
TX-100020,C-1034,P-01,2026-07-08,2026-07-10,549.97,EUR,Refund,Consumer,549.97,2026-07-10,549.97,2026-07-10,1,1.0,549.97,0.0,0.0,2.0,49.1,False,Matched
TX-100021,C-1080,P-01,2026-07-22,2026-07-23,439.16,GBP,Transfer,EMIR,439.16,2026-07-23,,,1,1.18,518.21,0.0,,1.0,48.3,False,Unmatched
TX-100022,C-1073,P-02,2026-07-20,2026-07-21,409.14,EUR,Transfer,EMIR,409.14,2026-07-21,409.14,2026-07-21,1,1.0,409.14,0.0,0.0,1.0,45.5,False,Matched
TX-100023,C-1103,P-01,2026-07-09,2026-07-11,238.66,EUR,Card payment,EMIR,238.66,2026-07-11,238.66,2026-07-11,1,1.0,238.66,0.0,0.0,2.0,43.6,False,Matched
TX-100024,C-1076,P-03,2026-07-15,2026-07-16,394.23,EUR,Transfer,Operational,394.23,2026-07-16,394.23,2026-07-16,1,1.0,394.23,0.0,0.0,1.0,48.0,False,Matched
TX-100025,C-1098,P-02,2026-07-16,2026-07-18,407.32,EUR,Refund,Consumer,407.32,2026-07-18,407.32,2026-07-18,1,1.0,407.32,0.0,0.0,2.0,45.8,False,Matched
TX-100026,C-1016,P-03,2026-07-21,2026-07-22,181.51,EUR,Refund,EMIR,181.51,2026-07-22,181.51,2026-07-22,1,1.0,181.51,0.0,0.0,1.0,47.5,False,Matched
TX-100027,C-1021,P-02,2026-07-02,2026-07-04,135.9,GBP,Card payment,EMIR,135.9,2026-07-04,135.9,2026-07-04,1,1.18,160.36,0.0,0.0,2.0,44.6,False,Matched
TX-100028,C-1106,P-03,2026-07-23,2026-07-24,523.24,EUR,Refund,Operational,523.24,2026-07-24,523.24,2026-07-24,1,1.0,523.24,0.0,0.0,1.0,50.8,False,Matched
TX-100029,C-1066,P-01,2026-07-07,2026-07-08,243.73,EUR,Transfer,EMIR,243.73,2026-07-08,243.73,2026-07-08,1,1.0,243.73,0.0,0.0,1.0,42.9,False,Matched
TX-100030,C-1009,P-03,2026-07-07,2026-07-09,255.47,EUR,Card payment,PSD2,255.47,2026-07-09,255.47,2026-07-09,1,1.0,255.47,0.0,0.0,2.0,45.3,False,Matched
TX-100031,C-1075,P-02,2026-07-11,2026-07-13,536.29,USD,Card payment,Operational,536.29,2026-07-13,536.29,2026-07-13,1,0.92,493.39,0.0,0.0,2.0,48.0,False,Matched
TX-100032,C-1098,P-02,2026-07-09,2026-07-10,224.11,USD,Card payment,PSD2,224.11,2026-07-10,224.11,2026-07-10,1,0.92,206.18,0.0,0.0,1.0,43.4,False,Matched
TX-100033,C-1087,P-01,2026-07-12,2026-07-14,130.15,EUR,Transfer,Consumer,130.15,2026-07-14,130.15,2026-07-14,1,1.0,130.15,0.0,0.0,2.0,44.8,False,Matched
TX-100034,C-1091,P-02,2026-07-17,2026-07-19,66.79,EUR,Transfer,Consumer,82.04,2026-07-19,66.79,2026-07-19,1,1.0,66.79,15.25,0.0,2.0,52.4,False,Mismatch
TX-100035,C-1061,P-03,2026-07-10,2026-07-11,120.52,EUR,Card payment,PSD2,120.52,2026-07-11,120.52,2026-07-11,1,1.0,120.52,0.0,0.0,1.0,48.3,False,Matched
TX-100036,C-1039,P-01,2026-07-17,2026-07-18,227.16,EUR,Transfer,Consumer,227.16,2026-07-18,227.16,2026-07-18,1,1.0,227.16,0.0,0.0,1.0,43.1,False,Matched
TX-100037,C-1090,P-01,2026-07-16,2026-07-17,268.47,EUR,Card payment,PSD2,268.47,2026-07-17,268.47,2026-07-17,1,1.0,268.47,0.0,0.0,1.0,43.7,False,Matched
TX-100038,C-1107,P-01,2026-07-12,2026-07-14,179.31,EUR,Refund,EMIR,179.31,2026-07-14,179.31,2026-07-14,1,1.0,179.31,0.0,0.0,2.0,43.3,False,Matched
TX-100039,C-1003,P-01,2026-07-19,2026-07-21,209.61,EUR,Card payment,PSD2,209.61,2026-07-21,209.61,2026-07-21,1,1.0,209.61,0.0,0.0,2.0,43.1,False,Matched
TX-100040,C-1042,P-02,2026-07-02,2026-07-03,555.79,EUR,Refund,Consumer,555.79,2026-07-03,555.79,2026-07-03,1,1.0,555.79,0.0,0.0,1.0,49.4,False,Matched
TX-100041,C-1065,P-01,2026-07-07,2026-07-09,539.66,EUR,Transfer,Consumer,539.66,2026-07-09,539.66,2026-07-09,1,1.0,539.66,0.0,0.0,2.0,48.2,False,Matched
TX-100042,C-1037,P-02,2026-07-21,2026-07-23,519.24,EUR,Card payment,PSD2,519.24,2026-07-23,519.24,2026-07-23,1,1.0,519.24,0.0,0.0,2.0,48.7,False,Matched
TX-100043,C-1074,P-03,2026-07-07,2026-07-09,429.99,EUR,Refund,EMIR,429.99,2026-07-09,429.99,2026-07-09,1,1.0,429.99,0.0,0.0,2.0,47.3,False,Matched
TX-100044,C-1101,P-01,2026-07-23,2026-07-25,509.98,EUR,Card payment,Consumer,509.98,2026-07-25,509.98,2026-07-25,1,1.0,509.98,0.0,0.0,2.0,47.6,False,Matched
TX-100045,C-1044,P-01,2026-07-11,2026-07-13,282.83,EUR,Transfer,PSD2,282.83,2026-07-13,282.83,2026-07-13,1,1.0,282.83,0.0,0.0,2.0,42.4,False,Matched
TX-100046,C-1030,P-02,2026-07-05,2026-07-06,742.37,EUR,Card payment,Operational,742.37,2026-07-06,742.37,2026-07-06,1,1.0,742.37,0.0,0.0,1.0,51.9,False,Matched
TX-100047,C-1086,P-01,2026-07-20,2026-07-22,100.97,EUR,Refund,EMIR,100.97,2026-07-22,100.97,2026-07-22,1,1.0,100.97,0.0,0.0,2.0,47.6,False,Matched
TX-100048,C-1107,P-01,2026-07-07,2026-07-09,105.5,EUR,Card payment,Operational,105.5,2026-07-09,105.5,2026-07-09,1,1.0,105.5,0.0,0.0,2.0,46.8,False,Matched
TX-100049,C-1106,P-02,2026-07-05,2026-07-06,481.86,EUR,Card payment,EMIR,481.86,2026-07-06,481.86,2026-07-06,1,1.0,481.86,0.0,0.0,1.0,47.6,False,Matched
TX-100050,C-1095,P-03,2026-07-13,2026-07-14,107.99,USD,Card payment,PSD2,107.99,2026-07-14,107.99,2026-07-14,1,0.92,99.35,0.0,0.0,1.0,48.7,False,Matched
TX-100051,C-1036,P-03,2026-07-19,2026-07-21,380.86,USD,Refund,EMIR,380.86,2026-07-21,380.86,2026-07-21,1,0.92,350.39,0.0,0.0,2.0,45.2,False,Matched
TX-100052,C-1097,P-01,2026-07-21,2026-07-23,120.14,EUR,Refund,Consumer,120.14,2026-07-23,120.14,2026-07-23,1,1.0,120.14,0.0,0.0,2.0,45.2,False,Matched
TX-100053,C-1055,P-02,2026-07-18,2026-07-19,193.8,EUR,Transfer,EMIR,193.8,2026-07-19,193.8,2026-07-19,1,1.0,193.8,0.0,0.0,1.0,43.4,False,Matched
TX-100054,C-1114,P-02,2026-07-15,2026-07-17,239.56,EUR,Transfer,Operational,239.56,2026-07-17,239.56,2026-07-17,1,1.0,239.56,0.0,0.0,2.0,43.7,False,Matched
TX-100055,C-1037,P-03,2026-07-17,2026-07-18,453.79,EUR,Transfer,PSD2,,,453.79,2026-07-18,0,1.0,453.79,,0.0,,65.6,True,Unmatched
TX-100056,C-1045,P-01,2026-07-23,2026-07-25,370.1,EUR,Transfer,PSD2,370.1,2026-07-25,370.1,2026-07-25,1,1.0,370.1,0.0,0.0,2.0,45.2,False,Matched
TX-100057,C-1069,P-03,2026-07-07,2026-07-08,106.79,EUR,Transfer,PSD2,106.79,2026-07-08,106.79,2026-07-08,1,1.0,106.79,0.0,0.0,1.0,48.5,False,Matched
TX-100058,C-1077,P-01,2026-07-14,2026-07-15,564.1,EUR,Transfer,PSD2,564.1,2026-07-15,564.1,2026-07-15,1,1.0,564.1,0.0,0.0,1.0,50.0,False,Matched
TX-100059,C-1053,P-02,2026-07-15,2026-07-17,577.8,EUR,Refund,PSD2,577.8,2026-07-17,577.8,2026-07-17,1,1.0,577.8,0.0,0.0,2.0,51.5,False,Matched
TX-100060,C-1046,P-01,2026-07-09,2026-07-11,222.18,EUR,Transfer,Operational,222.18,2026-07-11,222.18,2026-07-11,1,1.0,222.18,0.0,0.0,2.0,43.3,False,Matched
TX-100061,C-1072,P-01,2026-07-06,2026-07-08,333.53,EUR,Transfer,Consumer,333.53,2026-07-08,333.53,2026-07-08,1,1.0,333.53,0.0,0.0,2.0,44.2,False,Matched
TX-100062,C-1115,P-03,2026-07-01,2026-07-02,206.62,EUR,Refund,Operational,206.62,2026-07-02,206.62,2026-07-02,1,1.0,206.62,0.0,0.0,1.0,47.5,False,Matched
TX-100063,C-1075,P-01,2026-07-12,2026-07-13,96.59,EUR,Card payment,Consumer,96.59,2026-07-13,96.59,2026-07-13,1,1.0,96.59,0.0,0.0,1.0,48.8,False,Matched
TX-100064,C-1114,P-01,2026-07-19,2026-07-21,208.82,EUR,Transfer,EMIR,208.82,2026-07-21,208.82,2026-07-21,1,1.0,208.82,0.0,0.0,2.0,43.1,False,Matched
TX-100065,C-1054,P-03,2026-07-21,2026-07-22,35.44,GBP,Refund,EMIR,35.44,2026-07-22,35.44,2026-07-22,1,1.18,41.82,0.0,0.0,1.0,55.3,False,Matched
TX-100066,C-1108,P-01,2026-07-09,2026-07-11,1338.52,EUR,Transfer,PSD2,1338.52,2026-07-11,1338.52,2026-07-11,1,1.0,1338.52,0.0,0.0,2.0,67.1,True,Matched
TX-100067,C-1096,P-02,2026-07-07,2026-07-08,111.29,GBP,Card payment,PSD2,111.29,2026-07-08,155.79000000000002,2026-07-08,1,1.18,131.32,0.0,44.5,1.0,45.6,False,Mismatch
TX-100068,C-1007,P-01,2026-07-10,2026-07-12,602.32,EUR,Card payment,PSD2,602.32,2026-07-12,602.32,2026-07-12,1,1.0,602.32,0.0,0.0,2.0,49.1,False,Matched
TX-100069,C-1034,P-03,2026-07-07,2026-07-08,313.84,GBP,Refund,Consumer,313.84,2026-07-08,313.84,2026-07-08,1,1.18,370.33,0.0,0.0,1.0,48.1,False,Matched
TX-100070,C-1091,P-01,2026-07-22,2026-07-23,380.75,EUR,Card payment,PSD2,380.75,2026-07-23,380.75,2026-07-23,1,1.0,380.75,0.0,0.0,1.0,45.5,False,Matched
TX-100071,C-1007,P-01,2026-07-18,2026-07-19,300.2,EUR,Card payment,Operational,300.2,2026-07-19,300.2,2026-07-19,1,1.0,300.2,0.0,0.0,1.0,43.5,False,Matched
TX-100072,C-1009,P-02,2026-07-10,2026-07-12,240.51,EUR,Refund,PSD2,240.51,2026-07-12,240.51,2026-07-12,1,1.0,240.51,0.0,0.0,2.0,43.7,False,Matched
TX-100073,C-1048,P-02,2026-07-16,2026-07-17,267.0,USD,Transfer,EMIR,267.0,2026-07-17,267.0,2026-07-17,1,0.92,245.64,0.0,0.0,1.0,43.4,False,Matched
TX-100074,C-1059,P-01,2026-07-14,2026-07-15,670.34,GBP,Card payment,EMIR,670.34,2026-07-15,670.34,2026-07-15,1,1.18,791.0,0.0,0.0,1.0,53.7,False,Matched
TX-100075,C-1017,P-03,2026-07-18,2026-07-19,362.9,EUR,Transfer,EMIR,362.9,2026-07-19,362.9,2026-07-19,1,1.0,362.9,0.0,0.0,1.0,48.2,False,Matched
TX-100076,C-1037,P-01,2026-07-08,2026-07-10,805.97,USD,Card payment,PSD2,805.97,2026-07-10,805.97,2026-07-10,1,0.92,741.49,0.0,0.0,2.0,51.9,False,Matched
TX-100077,C-1101,P-02,2026-07-09,2026-07-10,281.57,GBP,Card payment,EMIR,281.57,2026-07-10,281.57,2026-07-10,1,1.18,332.25,0.0,0.0,1.0,44.3,False,Matched
TX-100078,C-1021,P-01,2026-07-22,2026-07-23,310.14,USD,Refund,PSD2,310.14,2026-07-23,310.14,2026-07-23,1,0.92,285.33,0.0,0.0,1.0,43.5,False,Matched
TX-100079,C-1099,P-01,2026-07-06,2026-07-07,1086.92,GBP,Card payment,,1086.92,2026-07-07,1086.92,2026-07-07,1,1.18,1282.57,0.0,0.0,1.0,66.2,True,Matched
TX-100080,C-1022,P-02,2026-07-13,2026-07-15,179.37,EUR,Refund,Consumer,179.37,2026-07-15,179.37,2026-07-15,1,1.0,179.37,0.0,0.0,2.0,44.6,False,Matched
TX-100081,C-1043,P-01,2026-07-22,2026-07-24,148.12,EUR,Card payment,PSD2,148.12,2026-07-24,148.12,2026-07-24,1,1.0,148.12,0.0,0.0,2.0,44.2,False,Matched
TX-100082,C-1045,P-02,2026-07-15,2026-07-16,168.34,EUR,Card payment,EMIR,168.34,2026-07-16,168.34,2026-07-16,1,1.0,168.34,0.0,0.0,1.0,44.5,False,Matched
TX-100083,C-1105,P-03,2026-07-18,2026-07-19,81.97,EUR,Transfer,Consumer,81.97,2026-07-19,81.97,2026-07-19,1,1.0,81.97,0.0,0.0,1.0,50.3,False,Matched
TX-100084,C-1087,P-01,2026-07-03,2026-07-05,79.44,EUR,Transfer,EMIR,79.44,2026-07-05,79.44,2026-07-05,1,1.0,79.44,0.0,0.0,2.0,49.7,False,Matched
TX-100085,C-1065,P-01,2026-07-22,2026-07-24,121.25,EUR,Card payment,Operational,121.25,2026-07-24,121.25,2026-07-24,1,1.0,121.25,0.0,0.0,2.0,45.0,False,Matched
TX-100086,C-1089,P-03,2026-07-17,2026-07-18,369.45,GBP,Refund,Operational,369.45,2026-07-18,369.45,2026-07-18,1,1.18,435.95,0.0,0.0,1.0,48.2,False,Matched
TX-100087,C-1112,P-01,2026-07-07,2026-07-08,70.14,EUR,Transfer,Operational,70.14,2026-07-08,70.14,2026-07-08,1,1.0,70.14,0.0,0.0,1.0,52.7,False,Matched
TX-100088,C-1087,P-03,2026-07-03,2026-07-04,279.07,EUR,Transfer,PSD2,279.07,2026-07-28,279.07,2026-07-04,1,1.0,279.07,0.0,0.0,25.0,75.7,True,Matched
TX-100089,C-1116,P-03,2026-07-02,2026-07-04,199.72,GBP,Transfer,Consumer,199.72,2026-07-04,199.72,2026-07-04,1,1.18,235.67,0.0,0.0,2.0,45.8,False,Matched
TX-100090,C-1094,P-01,2026-07-22,2026-07-23,199.67,EUR,Card payment,EMIR,199.67,2026-07-23,199.67,2026-07-23,1,1.0,199.67,0.0,0.0,1.0,43.2,False,Matched
TX-100091,C-1011,P-02,2026-07-14,2026-07-15,70.35,EUR,Card payment,Consumer,70.35,2026-07-15,70.35,2026-07-15,1,1.0,70.35,0.0,0.0,1.0,52.7,False,Matched
TX-100092,C-1109,P-02,2026-07-04,2026-07-05,126.03,USD,Card payment,EMIR,126.03,2026-07-05,126.03,2026-07-05,1,0.92,115.95,0.0,0.0,1.0,47.1,False,Matched
TX-100093,C-1044,P-01,2026-07-08,2026-07-10,60.48,USD,Card payment,EMIR,60.48,2026-07-10,60.48,2026-07-10,1,0.92,55.64,0.0,0.0,2.0,54.2,False,Matched
TX-100094,C-1013,P-01,2026-07-09,2026-07-10,305.48,EUR,Transfer,Operational,305.48,2026-07-10,305.48,2026-07-10,1,1.0,305.48,0.0,0.0,1.0,43.7,False,Matched
TX-100095,C-1084,P-03,2026-07-06,2026-07-07,581.99,EUR,Refund,PSD2,581.99,2026-07-07,581.99,2026-07-07,1,1.0,581.99,0.0,0.0,1.0,52.7,False,Matched
TX-100096,C-1087,P-01,2026-07-15,2026-07-17,291.55,EUR,Transfer,Operational,291.55,2026-07-17,291.55,2026-07-17,1,1.0,291.55,0.0,0.0,2.0,42.6,False,Matched
TX-100097,C-1035,P-02,2026-07-06,2026-07-08,582.1,GBP,Refund,Consumer,582.1,2026-07-08,582.1,2026-07-08,1,1.18,686.88,0.0,0.0,2.0,54.8,False,Matched
TX-100098,C-1024,P-02,2026-07-15,2026-07-17,281.23,USD,Refund,Operational,281.23,2026-07-17,281.23,2026-07-17,1,0.92,258.73,0.0,0.0,2.0,44.0,False,Matched
TX-100099,C-1020,P-02,2026-07-19,2026-07-20,847.61,EUR,Transfer,PSD2,847.61,2026-07-20,847.61,2026-07-20,1,1.0,847.61,0.0,0.0,1.0,54.0,False,Matched
TX-100100,C-1080,P-03,2026-07-14,2026-07-16,179.61,EUR,Refund,PSD2,179.61,2026-07-16,179.61,2026-07-16,1,1.0,179.61,0.0,0.0,2.0,45.5,False,Matched
TX-100101,C-1005,P-03,2026-07-07,2026-07-09,106.5,EUR,Card payment,EMIR,,,106.5,2026-07-09,0,1.0,106.5,,0.0,,66.2,True,Unmatched
TX-100102,C-1083,P-02,2026-07-14,2026-07-15,346.5,EUR,Refund,Consumer,346.5,2026-07-15,346.5,2026-07-15,1,1.0,346.5,0.0,0.0,1.0,44.6,False,Matched
TX-100103,C-1020,P-02,2026-07-23,2026-07-24,252.97,EUR,Refund,PSD2,252.97,2026-07-24,252.97,2026-07-24,1,1.0,252.97,0.0,0.0,1.0,43.5,False,Matched
TX-100104,C-1016,P-01,2026-07-05,2026-07-07,417.76,USD,Card payment,Operational,417.76,2026-07-07,417.76,2026-07-07,1,0.92,384.34,0.0,0.0,2.0,45.4,False,Matched
TX-100105,C-1009,P-03,2026-07-03,2026-07-05,58.84,GBP,Transfer,PSD2,58.84,2026-07-05,58.84,2026-07-05,1,1.18,69.43,0.0,0.0,2.0,51.8,False,Matched
TX-100106,C-1039,P-03,2026-07-02,2026-07-04,175.12,EUR,Transfer,Consumer,175.12,2026-07-04,175.12,2026-07-04,1,1.0,175.12,0.0,0.0,2.0,45.6,False,Matched
TX-100107,C-1052,P-02,2026-07-06,2026-07-08,170.57,GBP,Refund,PSD2,170.57,2026-07-08,170.57,2026-07-08,1,1.18,201.27,0.0,0.0,2.0,44.2,False,Matched
TX-100108,C-1069,P-02,2026-07-07,2026-07-08,261.76,GBP,Transfer,EMIR,261.76,2026-07-08,261.76,2026-07-08,1,1.18,308.88,0.0,0.0,1.0,44.1,False,Matched
TX-100109,C-1020,P-01,2026-07-19,2026-07-20,180.88,EUR,Refund,Consumer,180.88,2026-07-20,180.88,2026-07-20,1,1.0,180.88,0.0,0.0,1.0,42.7,False,Matched
TX-100110,C-1041,P-01,2026-07-20,2026-07-21,317.78,EUR,Transfer,Consumer,317.78,2026-07-21,317.78,2026-07-21,1,1.0,317.78,0.0,0.0,1.0,44.4,False,Matched
TX-100111,C-1004,P-01,2026-07-05,2026-07-06,196.84,EUR,Transfer,Consumer,196.84,2026-07-06,196.84,2026-07-06,1,1.0,196.84,0.0,0.0,1.0,43.3,False,Matched
TX-100112,C-1060,P-01,2026-07-06,2026-07-07,166.48,EUR,Card payment,Consumer,166.48,2026-07-07,166.48,2026-07-07,1,1.0,166.48,0.0,0.0,1.0,43.1,False,Matched
TX-100113,C-1096,P-01,2026-07-08,2026-07-09,155.16,USD,Transfer,Operational,155.16,2026-07-09,155.16,2026-07-09,1,0.92,142.75,0.0,0.0,1.0,43.9,False,Matched
TX-100114,C-1015,P-01,2026-07-07,2026-07-08,179.67,EUR,Transfer,Consumer,179.67,2026-07-08,179.67,2026-07-08,1,1.0,179.67,0.0,0.0,1.0,42.9,False,Matched
TX-100115,C-1046,P-01,2026-07-13,2026-07-14,610.84,EUR,Card payment,PSD2,610.84,2026-07-14,610.84,2026-07-14,1,1.0,610.84,0.0,0.0,1.0,50.9,False,Matched
TX-100116,C-1060,P-03,2026-07-19,2026-07-21,181.72,EUR,Card payment,Operational,181.72,2026-07-21,181.72,2026-07-21,1,1.0,181.72,0.0,0.0,2.0,45.4,False,Matched
TX-100117,C-1103,P-01,2026-07-01,2026-07-03,172.6,EUR,Card payment,Operational,172.6,2026-07-03,172.6,2026-07-03,1,1.0,172.6,0.0,0.0,2.0,43.2,False,Matched
TX-100118,C-1007,P-01,2026-07-12,2026-07-14,948.11,EUR,Card payment,Consumer,948.11,2026-07-14,948.11,2026-07-14,1,1.0,948.11,0.0,0.0,2.0,58.4,True,Matched
TX-100119,C-1007,P-03,2026-07-21,2026-07-23,460.7,EUR,Transfer,PSD2,460.7,2026-07-23,460.7,2026-07-23,1,1.0,460.7,0.0,0.0,2.0,47.9,False,Matched
TX-100120,C-1052,P-03,2026-07-23,2026-07-25,145.3,EUR,Refund,Operational,145.3,2026-07-25,145.3,2026-07-25,1,1.0,145.3,0.0,0.0,2.0,47.4,False,Matched
TX-100121,C-1045,P-01,2026-07-22,2026-07-24,357.63,EUR,Transfer,Operational,357.63,2026-07-24,357.63,2026-07-24,1,1.0,357.63,0.0,0.0,2.0,44.5,False,Matched
TX-100122,C-1098,P-01,2026-07-23,2026-07-25,305.29,EUR,Transfer,Consumer,305.29,2026-07-25,305.29,2026-07-25,1,1.0,305.29,0.0,0.0,2.0,43.3,False,Matched
TX-100123,C-1063,P-02,2026-07-19,2026-07-21,180.6,GBP,Refund,EMIR,180.6,2026-07-21,180.6,2026-07-29,1,1.18,213.11,0.0,0.0,2.0,44.1,False,Matched
TX-100124,C-1057,P-01,2026-07-17,2026-07-19,173.84,EUR,Transfer,PSD2,173.84,2026-07-19,173.84,2026-07-19,1,1.0,173.84,0.0,0.0,2.0,43.2,False,Matched
TX-100125,C-1052,P-01,2026-07-23,2026-07-25,183.8,GBP,Transfer,Operational,183.8,2026-07-25,183.8,2026-07-25,1,1.18,216.88,0.0,0.0,2.0,43.0,False,Matched
TX-100126,C-1111,P-01,2026-07-10,2026-07-11,588.36,EUR,Transfer,EMIR,588.36,2026-07-11,588.36,2026-07-11,1,1.0,588.36,0.0,0.0,1.0,50.2,False,Matched
TX-100127,C-1056,P-03,2026-07-04,2026-07-05,447.53,EUR,Transfer,PSD2,447.53,2026-07-05,447.53,2026-07-05,1,1.0,447.53,0.0,0.0,1.0,48.2,False,Matched
TX-100128,C-1046,P-01,2026-07-04,2026-07-05,600.41,EUR,Card payment,Consumer,600.41,2026-07-05,600.41,2026-07-05,1,1.0,600.41,0.0,0.0,1.0,50.8,False,Matched
TX-100129,C-1024,P-02,2026-07-22,2026-07-23,1700.86,EUR,Refund,PSD2,1700.86,2026-07-23,1700.86,2026-07-23,1,1.0,1700.86,0.0,0.0,1.0,70.1,True,Matched
TX-100130,C-1016,P-02,2026-07-02,2026-07-03,302.38,EUR,Refund,Operational,302.38,2026-07-03,302.38,2026-07-03,1,1.0,302.38,0.0,0.0,1.0,44.1,False,Matched
TX-100131,C-1010,P-01,2026-07-10,2026-07-12,180.93,EUR,Card payment,PSD2,180.93,2026-07-12,180.93,2026-07-12,1,1.0,180.93,0.0,0.0,2.0,43.5,False,Matched
TX-100132,C-1029,P-03,2026-07-07,2026-07-09,418.11,GBP,Card payment,Consumer,418.11,2026-07-09,418.11,2026-07-09,1,1.18,493.37,0.0,0.0,2.0,49.4,False,Matched
TX-100133,C-1120,P-01,2026-07-03,2026-07-04,147.66,EUR,Transfer,Consumer,147.66,2026-07-04,147.66,2026-07-04,1,1.0,147.66,0.0,0.0,1.0,44.0,False,Matched
TX-100134,C-1067,P-01,2026-07-18,2026-07-19,235.12,USD,Refund,Consumer,235.12,2026-07-19,235.12,2026-07-19,1,0.92,216.31,0.0,0.0,1.0,43.3,False,Matched
TX-100135,C-1099,P-02,2026-07-02,2026-07-03,200.77,EUR,Card payment,EMIR,200.77,2026-07-03,200.77,2026-07-03,1,1.0,200.77,0.0,0.0,1.0,43.3,False,Matched
