transaction_id,customer_id,payment_provider,transaction_date,settlement_date,amount,currency,transaction_type,regulatory_classification
TX-100050,C-1095,P-03,2026-07-13,2026-07-14,107.99,USD,Card payment,PSD2
TX-100051,C-1036,P-03,2026-07-19,2026-07-21,380.86,USD,Refund,EMIR
TX-100052,C-1097,P-01,2026-07-21,2026-07-23,120.14,EUR,Refund,Consumer
TX-100053,C-1055,P-02,2026-07-18,2026-07-19,193.8,EUR,Transfer,EMIR
TX-100054,C-1114,P-02,2026-07-15,2026-07-17,239.56,EUR,Transfer,Operational
TX-100055,C-1037,P-03,2026-07-17,2026-07-18,453.79,EUR,Transfer,PSD2
TX-100056,C-1045,P-01,2026-07-23,2026-07-25,370.1,EUR,Transfer,PSD2
TX-100057,C-1069,P-03,2026-07-07,2026-07-08,106.79,EUR,Transfer,PSD2
TX-100058,C-1077,P-01,2026-07-14,2026-07-15,564.1,EUR,Transfer,PSD2
TX-100059,C-1053,P-02,2026-07-15,2026-07-17,577.8,EUR,Refund,PSD2
TX-100060,C-1046,P-01,2026-07-09,2026-07-11,222.18,EUR,Transfer,Operational
TX-100061,C-1072,P-01,2026-07-06,2026-07-08,333.53,EUR,Transfer,Consumer
TX-100062,C-1115,P-03,2026-07-01,2026-07-02,206.62,EUR,Refund,Operational
TX-100063,C-1075,P-01,2026-07-12,2026-07-13,96.59,EUR,Card payment,Consumer
TX-100064,C-1114,P-01,2026-07-19,2026-07-21,208.82,EUR,Transfer,EMIR
TX-100065,C-1054,P-03,2026-07-21,2026-07-22,35.44,GBP,Refund,EMIR
TX-100066,C-1108,P-01,2026-07-09,2026-07-11,1338.52,EUR,Transfer,PSD2
TX-100067,C-1096,P-02,2026-07-07,2026-07-08,111.29,GBP,Card payment,PSD2
TX-100068,C-1007,P-01,2026-07-10,2026-07-12,602.32,EUR,Card payment,PSD2
TX-100069,C-1034,P-03,2026-07-07,2026-07-08,313.84,GBP,Refund,Consumer
TX-100070,C-1091,P-01,2026-07-22,2026-07-23,380.75,EUR,Card payment,PSD2
TX-100071,C-1007,P-01,2026-07-18,2026-07-19,300.2,EUR,Card payment,Operational
TX-100072,C-1009,P-02,2026-07-10,2026-07-12,240.51,EUR,Refund,PSD2
TX-100073,C-1048,P-02,2026-07-16,2026-07-17,267.0,USD,Transfer,EMIR
TX-100074,C-1059,P-01,2026-07-14,2026-07-15,670.34,GBP,Card payment,EMIR
TX-100075,C-1017,P-03,2026-07-18,2026-07-19,362.9,EUR,Transfer,EMIR
TX-100076,C-1037,P-01,2026-07-08,2026-07-10,805.97,USD,Card payment,PSD2
TX-100077,C-1101,P-02,2026-07-09,2026-07-10,281.57,GBP,Card payment,EMIR
TX-100078,C-1021,P-01,2026-07-22,2026-07-23,310.14,USD,Refund,PSD2
TX-100079,C-1099,P-01,2026-07-06,2026-07-07,1086.92,GBP,Card payment,
TX-100080,C-1022,P-02,2026-07-13,2026-07-15,179.37,EUR,Refund,Consumer
TX-100081,C-1043,P-01,2026-07-22,2026-07-24,148.12,EUR,Card payment,PSD2
TX-100082,C-1045,P-02,2026-07-15,2026-07-16,168.34,EUR,Card payment,EMIR
TX-100083,C-1105,P-03,2026-07-18,2026-07-19,81.97,EUR,Transfer,Consumer
TX-100084,C-1087,P-01,2026-07-03,2026-07-05,79.44,EUR,Transfer,EMIR
TX-100085,C-1065,P-01,2026-07-22,2026-07-24,121.25,EUR,Card payment,Operational
TX-100086,C-1089,P-03,2026-07-17,2026-07-18,369.45,GBP,Refund,Operational
TX-100087,C-1112,P-01,2026-07-07,2026-07-08,70.14,EUR,Transfer,Operational
TX-100088,C-1087,P-03,2026-07-03,2026-07-04,279.07,EUR,Transfer,PSD2
TX-100089,C-1116,P-03,2026-07-02,2026-07-04,199.72,GBP,Transfer,Consumer
TX-100090,C-1094,P-01,2026-07-22,2026-07-23,199.67,EUR,Card payment,EMIR
TX-100091,C-1011,P-02,2026-07-14,2026-07-15,70.35,EUR,Card payment,Consumer
TX-100092,C-1109,P-02,2026-07-04,2026-07-05,126.03,USD,Card payment,EMIR
TX-100093,C-1044,P-01,2026-07-08,2026-07-10,60.48,USD,Card payment,EMIR
TX-100094,C-1013,P-01,2026-07-09,2026-07-10,305.48,EUR,Transfer,Operational
TX-100095,C-1084,P-03,2026-07-06,2026-07-07,581.99,EUR,Refund,PSD2
TX-100096,C-1087,P-01,2026-07-15,2026-07-17,291.55,EUR,Transfer,Operational
TX-100097,C-1035,P-02,2026-07-06,2026-07-08,582.1,GBP,Refund,Consumer
TX-100098,C-1024,P-02,2026-07-15,2026-07-17,281.23,USD,Refund,Operational
TX-100099,C-1020,P-02,2026-07-19,2026-07-20,847.61,EUR,Transfer,PSD2
TX-100100,C-1080,P-03,2026-07-14,2026-07-16,179.61,EUR,Refund,PSD2
TX-100101,C-1005,P-03,2026-07-07,2026-07-09,106.5,EUR,Card payment,EMIR
TX-100102,C-1083,P-02,2026-07-14,2026-07-15,346.5,EUR,Refund,Consumer
TX-100103,C-1020,P-02,2026-07-23,2026-07-24,252.97,EUR,Refund,PSD2
TX-100104,C-1016,P-01,2026-07-05,2026-07-07,417.76,USD,Card payment,Operational
TX-100105,C-1009,P-03,2026-07-03,2026-07-05,58.84,GBP,Transfer,PSD2
TX-100106,C-1039,P-03,2026-07-02,2026-07-04,175.12,EUR,Transfer,Consumer
TX-100107,C-1052,P-02,2026-07-06,2026-07-08,170.57,GBP,Refund,PSD2
TX-100108,C-1069,P-02,2026-07-07,2026-07-08,261.76,GBP,Transfer,EMIR
TX-100109,C-1020,P-01,2026-07-19,2026-07-20,180.88,EUR,Refund,Consumer
TX-100110,C-1041,P-01,2026-07-20,2026-07-21,317.78,EUR,Transfer,Consumer
TX-100111,C-1004,P-01,2026-07-05,2026-07-06,196.84,EUR,Transfer,Consumer
TX-100112,C-1060,P-01,2026-07-06,2026-07-07,166.48,EUR,Card payment,Consumer
TX-100113,C-1096,P-01,2026-07-08,2026-07-09,155.16,USD,Transfer,Operational
TX-100114,C-1015,P-01,2026-07-07,2026-07-08,179.67,EUR,Transfer,Consumer
TX-100115,C-1046,P-01,2026-07-13,2026-07-14,610.84,EUR,Card payment,PSD2
TX-100116,C-1060,P-03,2026-07-19,2026-07-21,181.72,EUR,Card payment,Operational
TX-100117,C-1103,P-01,2026-07-01,2026-07-03,172.6,EUR,Card payment,Operational
TX-100118,C-1007,P-01,2026-07-12,2026-07-14,948.11,EUR,Card payment,Consumer
TX-100119,C-1007,P-03,2026-07-21,2026-07-23,460.7,EUR,Transfer,PSD2
TX-100120,C-1052,P-03,2026-07-23,2026-07-25,145.3,EUR,Refund,Operational
TX-100121,C-1045,P-01,2026-07-22,2026-07-24,357.63,EUR,Transfer,Operational
TX-100122,C-1098,P-01,2026-07-23,2026-07-25,305.29,EUR,Transfer,Consumer
TX-100123,C-1063,P-02,2026-07-19,2026-07-21,180.6,GBP,Refund,EMIR
TX-100124,C-1057,P-01,2026-07-17,2026-07-19,173.84,EUR,Transfer,PSD2
TX-100125,C-1052,P-01,2026-07-23,2026-07-25,183.8,GBP,Transfer,Operational
TX-100126,C-1111,P-01,2026-07-10,2026-07-11,588.36,EUR,Transfer,EMIR
TX-100127,C-1056,P-03,2026-07-04,2026-07-05,447.53,EUR,Transfer,PSD2
TX-100128,C-1046,P-01,2026-07-04,2026-07-05,600.41,EUR,Card payment,Consumer
TX-100129,C-1024,P-02,2026-07-22,2026-07-23,1700.86,EUR,Refund,PSD2
TX-100130,C-1016,P-02,2026-07-02,2026-07-03,302.38,EUR,Refund,Operational
TX-100131,C-1010,P-01,2026-07-10,2026-07-12,180.93,EUR,Card payment,PSD2
TX-100132,C-1029,P-03,2026-07-07,2026-07-09,418.11,GBP,Card payment,Consumer
TX-100133,C-1120,P-01,2026-07-03,2026-07-04,147.66,EUR,Transfer,Consumer
TX-100134,C-1067,P-01,2026-07-18,2026-07-19,235.12,USD,Refund,Consumer
TX-100135,C-1099,P-02,2026-07-02,2026-07-03,200.77,EUR,Card payment,EMIR
TX-100136,C-1075,P-03,2026-07-19,2026-07-20,759.2,USD,Card payment,Consumer
TX-100137,C-1115,P-01,2026-07-13,2026-07-15,51.94,EUR,Transfer,Operational
TX-100138,C-1033,P-02,2026-07-08,2026-07-09,170.13,USD,Refund,PSD2
TX-100139,C-1040,P-01,2026-07-12,2026-07-13,586.59,GBP,Transfer,PSD2
TX-100140,C-1103,P-01,2026-07-14,2026-07-15,125.33,USD,Refund,Operational
TX-100141,C-1108,P-01,2026-07-15,2026-07-16,179.91,EUR,Card payment,Consumer
TX-100142,C-1091,P-01,2026-07-05,2026-07-07,66.5,GBP,Transfer,PSD2
TX-100143,C-1004,P-01,2026-07-03,2026-07-04,249.1,EUR,Transfer,PSD2
TX-100144,C-1034,P-01,2026-07-16,2026-07-17,502.5,GBP,Card payment,EMIR
TX-100145,C-1028,P-01,2026-07-09,2026-07-11,129.07,USD,Refund,PSD2
TX-100146,C-1092,P-01,2026-07-07,2026-07-08,134.01,GBP,Refund,EMIR
TX-100147,C-1103,P-01,2026-07-14,2026-07-15,165.06,USD,Refund,PSD2
TX-100148,C-1028,P-02,2026-07-22,2026-07-23,424.62,USD,Transfer,Consumer
TX-100149,C-1057,P-02,2026-07-17,2026-07-19,289.42,GBP,Transfer,PSD2
TX-100150,C-1064,P-02,2026-07-01,2026-07-02,137.84,USD,Transfer,PSD2
TX-100151,C-1120,P-03,2026-07-12,2026-07-13,167.79,EUR,Transfer,PSD2
TX-100152,C-1038,P-01,2026-07-11,2026-07-13,684.83,EUR,Transfer,Consumer
TX-100153,C-1073,P-02,2026-07-12,2026-07-13,391.52,EUR,Refund,PSD2
TX-100154,C-1117,P-01,2026-07-07,2026-07-08,334.95,EUR,Card payment,Consumer
TX-100155,C-1031,P-03,2026-07-08,2026-07-09,147.75,EUR,Refund,PSD2
TX-100156,C-1029,P-01,2026-07-13,2026-07-15,582.41,USD,Card payment,Operational
TX-100157,C-1016,P-03,2026-07-03,2026-07-04,401.47,EUR,Card payment,Operational
TX-100158,C-1095,P-02,2026-07-01,2026-07-02,415.38,EUR,Transfer,EMIR
TX-100159,C-1113,P-03,2026-07-20,2026-07-22,105.99,EUR,Refund,PSD2
TX-100160,C-1019,P-01,2026-07-17,2026-07-19,112.87,USD,Transfer,Consumer
TX-100161,C-1039,P-03,2026-07-14,2026-07-16,297.54,EUR,Card payment,EMIR
TX-100162,C-1120,P-01,2026-07-21,2026-07-23,274.76,USD,Transfer,Operational
TX-100163,C-1120,P-03,2026-07-03,2026-07-05,302.36,GBP,Transfer,PSD2
TX-100164,C-1024,P-02,2026-07-12,2026-07-13,442.13,GBP,Card payment,PSD2
TX-100165,C-1100,P-01,2026-07-06,2026-07-08,78.13,EUR,Card payment,PSD2
TX-100166,C-1003,P-01,2026-07-16,2026-07-17,708.48,EUR,Transfer,Consumer
TX-100167,C-1018,P-03,2026-07-18,2026-07-20,82.47,GBP,Card payment,Operational
TX-100168,C-1078,P-01,2026-07-20,2026-07-22,272.9,EUR,Transfer,PSD2
TX-100169,C-1104,P-01,2026-07-17,2026-07-18,234.76,GBP,Refund,EMIR
TX-100170,C-1096,P-02,2026-07-22,2026-07-23,804.74,GBP,Transfer,Consumer
TX-100171,C-1003,P-03,2026-07-03,2026-07-05,591.58,EUR,Refund,PSD2
TX-100172,C-1074,P-01,2026-07-23,2026-07-25,251.33,GBP,Refund,Consumer
TX-100173,C-1049,P-02,2026-07-08,2026-07-10,367.09,USD,Refund,EMIR
TX-100174,C-1120,P-03,2026-07-14,2026-07-16,371.77,EUR,Card payment,Operational
TX-100175,C-1011,P-01,2026-07-12,2026-07-14,294.44,USD,Card payment,EMIR
TX-100176,C-1074,P-01,2026-07-13,2026-07-15,770.75,EUR,Card payment,PSD2
TX-100177,C-1022,P-01,2026-07-07,2026-07-08,211.61,GBP,Refund,Operational
TX-100178,C-1030,P-03,2026-07-21,2026-07-22,184.94,EUR,Refund,PSD2
TX-100179,C-1046,P-02,2026-07-02,2026-07-04,78.03,USD,Refund,Operational
TX-100180,C-1011,P-01,2026-07-17,2026-07-18,175.68,USD,Transfer,EMIR
TX-100181,C-1117,P-02,2026-07-20,2026-07-22,403.61,EUR,Card payment,Operational
TX-100182,C-1023,P-03,2026-07-19,2026-07-20,610.83,GBP,Transfer,Operational
TX-100183,C-1078,P-02,2026-07-08,2026-07-10,105.55,EUR,Refund,Operational
TX-100184,C-1081,P-02,2026-07-16,2026-07-17,652.74,EUR,Refund,Consumer
TX-100185,C-1089,P-01,2026-07-14,2026-07-15,713.63,EUR,Card payment,PSD2
TX-100186,C-1109,P-03,2026-07-18,2026-07-20,309.82,USD,Transfer,PSD2
TX-100187,C-1073,P-01,2026-07-12,2026-07-14,327.19,EUR,Refund,PSD2
TX-100188,C-1083,P-03,2026-07-10,2026-07-12,359.56,EUR,Transfer,Consumer
TX-100189,C-1066,P-01,2026-07-07,2026-07-08,215.78,GBP,Refund,Consumer
TX-100190,C-1090,P-03,2026-07-15,2026-07-16,503.64,EUR,Refund,PSD2
TX-100191,C-1014,P-03,2026-07-16,2026-07-18,409.62,EUR,Card payment,PSD2
TX-100192,C-1065,P-02,2026-07-05,2026-07-07,327.35,EUR,Card payment,Operational
TX-100193,C-1033,P-03,2026-07-21,2026-07-23,458.75,USD,Refund,Operational
TX-100194,C-1071,P-03,2026-07-23,2026-07-25,104.75,EUR,Refund,Consumer
TX-100195,C-1036,P-02,2026-07-18,2026-07-19,99.17,GBP,Refund,PSD2
TX-100196,C-1103,P-01,2026-07-01,2026-07-03,252.6,GBP,Refund,Consumer
TX-100197,C-1067,P-02,2026-07-08,2026-07-10,191.19,USD,Refund,Consumer
TX-100198,C-1099,P-03,2026-07-07,2026-07-08,640.08,EUR,Transfer,PSD2
TX-100199,C-1050,P-01,2026-07-06,2026-07-07,232.7,EUR,Refund,Consumer
TX-100200,C-1101,P-02,2026-07-02,2026-07-03,135.97,EUR,Refund,Operational
TX-100201,C-1069,P-01,2026-07-08,2026-07-09,330.19,EUR,Transfer,EMIR
TX-100202,C-1004,P-03,2026-07-17,2026-07-19,353.63,EUR,Transfer,EMIR
TX-100203,C-1042,P-01,2026-07-15,2026-07-17,215.48,EUR,Refund,Operational
TX-100204,C-1060,P-03,2026-07-08,2026-07-09,349.69,EUR,Refund,EMIR
TX-100205,C-1088,P-03,2026-07-12,2026-07-14,725.21,EUR,Card payment,PSD2
TX-100206,C-1094,P-01,2026-07-10,2026-07-11,1224.67,USD,Transfer,EMIR
TX-100207,C-1082,P-03,2026-07-15,2026-07-17,54.78,GBP,Transfer,Operational
TX-100208,C-1102,P-02,2026-07-06,2026-07-07,171.45,EUR,Transfer,Operational
TX-100209,C-1084,P-02,2026-07-02,2026-07-04,261.07,EUR,Refund,EMIR
TX-100210,C-1001,P-02,2026-07-12,2026-07-14,284.86,GBP,Refund,Operational
TX-100211,C-1102,P-03,2026-07-13,2026-07-15,42.58,EUR,Refund,Consumer
TX-100212,C-1088,P-01,2026-07-08,2026-07-09,413.14,EUR,Card payment,EMIR
TX-100213,C-1095,P-01,2026-07-03,2026-07-05,237.41,GBP,Transfer,Operational
TX-100214,C-1039,P-02,2026-07-22,2026-07-24,935.68,EUR,Refund,EMIR
TX-100215,C-1029,P-02,2026-07-19,2026-07-20,231.12,GBP,Card payment,EMIR
TX-100216,C-1045,P-03,2026-07-01,2026-07-03,223.72,GBP,Transfer,Consumer
TX-100217,C-1024,P-01,2026-07-09,2026-07-10,504.81,EUR,Card payment,Operational
TX-100218,C-1063,P-01,2026-07-22,2026-07-23,874.78,EUR,Transfer,Consumer
TX-100219,C-1043,P-03,2026-07-08,2026-07-10,159.7,EUR,Refund,EMIR
TX-100220,C-1110,P-03,2026-07-18,2026-07-20,327.21,EUR,Card payment,PSD2
TX-100221,C-1071,P-01,2026-07-11,2026-07-13,412.19,EUR,Transfer,PSD2
TX-100222,C-1028,P-01,2026-07-05,2026-07-06,139.2,USD,Card payment,Consumer
TX-100223,C-1034,P-01,2026-07-13,2026-07-14,734.18,EUR,Refund,PSD2
TX-100224,C-1008,P-02,2026-07-23,2026-07-25,92.46,EUR,Card payment,EMIR
TX-100225,C-1104,P-03,2026-07-13,2026-07-14,379.25,GBP,Transfer,Operational
TX-100226,C-1042,P-02,2026-07-20,2026-07-21,838.62,EUR,Card payment,Consumer
TX-100227,C-1077,P-02,2026-07-05,2026-07-07,140.77,GBP,Refund,EMIR
TX-100228,C-1019,P-03,2026-07-11,2026-07-12,74.05,EUR,Transfer,EMIR
TX-100229,C-1024,P-03,2026-07-14,2026-07-15,558.04,EUR,Refund,Operational
TX-100230,C-1061,P-02,2026-07-20,2026-07-22,215.92,GBP,Card payment,Operational
TX-100231,C-1015,P-03,2026-07-05,2026-07-07,1073.03,GBP,Transfer,PSD2
TX-100232,C-1042,P-01,2026-07-05,2026-07-06,200.41,EUR,Refund,Consumer
TX-100233,C-1043,P-01,2026-07-17,2026-07-19,270.74,USD,Card payment,Consumer
TX-100234,C-1054,P-01,2026-07-11,2026-07-13,355.9,EUR,Transfer,Consumer
TX-100235,C-1058,P-01,2026-07-13,2026-07-14,156.75,GBP,Refund,EMIR
TX-100236,C-1084,P-03,2026-07-14,2026-07-16,189.94,EUR,Card payment,Operational
TX-100237,C-1039,P-01,2026-07-19,2026-07-21,203.63,EUR,Refund,EMIR
TX-100238,C-1067,P-01,2026-07-09,2026-07-10,147.8,GBP,Refund,
TX-100239,C-1118,P-01,2026-07-02,2026-07-04,298.23,EUR,Refund,Consumer
TX-100240,C-1078,P-01,2026-07-14,2026-07-15,331.7,EUR,Refund,Operational
TX-100241,C-1055,P-01,2026-07-18,2026-07-19,467.13,EUR,Refund,Operational
TX-100242,C-1071,P-01,2026-07-12,2026-07-14,178.26,EUR,Refund,PSD2
TX-100243,C-1076,P-03,2026-07-01,2026-07-03,285.85,EUR,Refund,EMIR
TX-100244,C-1040,P-03,2026-07-04,2026-07-05,63.84,EUR,Card payment,PSD2
TX-100245,C-1050,P-02,2026-07-06,2026-07-08,120.22,GBP,Transfer,Consumer
TX-100246,C-1073,P-01,2026-07-03,2026-07-04,504.26,EUR,Transfer,PSD2
TX-100247,C-1084,P-02,2026-07-06,2026-07-07,265.95,EUR,Card payment,Consumer
TX-100248,C-1098,P-02,2026-07-22,2026-07-23,236.81,EUR,Refund,Consumer
TX-100249,C-1047,P-01,2026-07-12,2026-07-14,238.16,EUR,Transfer,Operational
TX-100250,C-1094,P-02,2026-07-13,2026-07-15,298.39,USD,Card payment,Consumer
TX-100251,C-1117,P-03,2026-07-17,2026-07-18,102.18,USD,Transfer,Consumer
TX-100252,C-1094,P-01,2026-07-22,2026-07-23,150.38,EUR,Refund,EMIR
TX-100253,C-1032,P-03,2026-07-14,2026-07-15,110.78,EUR,Transfer,Consumer
TX-100254,C-1107,P-02,2026-07-21,2026-07-23,316.73,GBP,Refund,Operational
TX-100255,C-1050,P-02,2026-07-03,2026-07-05,145.22,EUR,Transfer,EMIR
TX-100256,C-1044,P-01,2026-07-02,2026-07-04,401.51,USD,Card payment,PSD2
TX-100257,C-1095,P-01,2026-07-08,2026-07-09,147.31,GBP,Transfer,Operational
TX-100258,C-1102,P-02,2026-07-07,2026-07-08,225.54,EUR,Refund,Operational
TX-100259,C-1075,P-02,2026-07-08,2026-07-09,536.46,EUR,Refund,Operational
TX-100260,C-1072,P-01,2026-07-21,2026-07-22,375.93,EUR,Card payment,Consumer
TX-100261,C-1084,P-02,2026-07-03,2026-07-04,372.2,EUR,Refund,Operational
TX-100262,C-1101,P-03,2026-07-19,2026-07-20,172.91,GBP,Transfer,Operational
TX-100263,C-1103,P-02,2026-07-12,2026-07-13,77.08,EUR,Refund,PSD2
TX-100264,C-1092,P-03,2026-07-14,2026-07-16,1171.79,EUR,Refund,Operational
TX-100265,C-1111,P-03,2026-07-03,2026-07-04,778.61,EUR,Transfer,Consumer
TX-100266,C-1055,P-03,2026-07-02,2026-07-03,151.03,EUR,Refund,EMIR
TX-100267,C-1020,P-03,2026-07-05,2026-07-06,551.88,USD,Refund,PSD2
TX-100268,C-1055,P-01,2026-07-08,2026-07-09,174.08,EUR,Transfer,PSD2
TX-100269,C-1043,P-02,2026-07-18,2026-07-19,223.98,EUR,Refund,EMIR
TX-100270,C-1016,P-01,2026-07-22,2026-07-24,305.52,GBP,Card payment,Consumer
TX-100271,C-1117,P-03,2026-07-16,2026-07-18,299.7,USD,Card payment,EMIR
TX-100272,C-1027,P-03,2026-07-18,2026-07-19,191.07,EUR,Transfer,Operational
TX-100273,C-1108,P-01,2026-07-15,2026-07-17,219.09,EUR,Card payment,Operational
TX-100274,C-1110,P-01,2026-07-10,2026-07-12,608.36,GBP,Card payment,Operational
TX-100275,C-1101,P-01,2026-07-11,2026-07-12,162.0,EUR,Card payment,PSD2
TX-100276,C-1042,P-02,2026-07-07,2026-07-09,95.94,EUR,Transfer,Operational
TX-100277,C-1110,P-02,2026-07-09,2026-07-10,99.74,USD,Refund,PSD2
TX-100278,C-1026,P-03,2026-07-19,2026-07-21,509.68,EUR,Refund,Operational
TX-100279,C-1009,P-01,2026-07-16,2026-07-18,513.16,EUR,Refund,EMIR
TX-100280,C-1105,P-01,2026-07-22,2026-07-23,52.14,USD,Transfer,PSD2
TX-100281,C-1095,P-01,2026-07-20,2026-07-21,125.06,GBP,Transfer,Consumer
TX-100282,C-1020,P-01,2026-07-03,2026-07-05,271.83,EUR,Transfer,Operational
TX-100283,C-1083,P-01,2026-07-13,2026-07-15,217.36,EUR,Refund,Consumer
TX-100284,C-1007,P-01,2026-07-11,2026-07-13,267.69,GBP,Card payment,Consumer
TX-100285,C-1087,P-02,2026-07-22,2026-07-23,756.18,EUR,Transfer,Consumer
TX-100286,C-1039,P-01,2026-07-14,2026-07-16,425.26,GBP,Card payment,EMIR
TX-100287,C-1044,P-01,2026-07-07,2026-07-08,268.21,EUR,Refund,Operational
TX-100288,C-1074,P-03,2026-07-22,2026-07-23,691.11,EUR,Refund,PSD2
TX-100289,C-1065,P-02,2026-07-17,2026-07-19,200.53,EUR,Card payment,EMIR
TX-100290,C-1095,P-02,2026-07-17,2026-07-19,218.41,EUR,Transfer,EMIR
TX-100291,C-1028,P-02,2026-07-04,2026-07-06,403.79,EUR,Card payment,PSD2
TX-100292,C-1077,P-03,2026-07-19,2026-07-21,159.98,EUR,Transfer,PSD2
TX-100293,C-1006,P-02,2026-07-20,2026-07-22,413.36,EUR,Refund,Operational
TX-100294,C-1013,P-02,2026-07-12,2026-07-13,259.31,EUR,Transfer,EMIR
TX-100295,C-1030,P-01,2026-07-22,2026-07-24,650.85,EUR,Card payment,PSD2
TX-100296,C-1010,P-01,2026-07-20,2026-07-21,447.69,EUR,Refund,EMIR
TX-100297,C-1091,P-01,2026-07-15,2026-07-17,289.18,EUR,Card payment,Operational
TX-100298,C-1095,P-01,2026-07-13,2026-07-14,380.32,GBP,Refund,PSD2
TX-100299,C-1030,P-02,2026-07-16,2026-07-17,854.85,EUR,Refund,EMIR
