transaction_id,bank_reference,bank_amount,currency,bank_settlement_date
TX-100124,BNK-000124,173.84,EUR,2026-07-19
TX-100125,BNK-000125,183.8,GBP,2026-07-25
TX-100126,BNK-000126,588.36,EUR,2026-07-11
TX-100127,BNK-000127,447.53,EUR,2026-07-05
TX-100128,BNK-000128,600.41,EUR,2026-07-05
TX-100129,BNK-000129,1700.86,EUR,2026-07-23
TX-100130,BNK-000130,302.38,EUR,2026-07-03
TX-100131,BNK-000131,180.93,EUR,2026-07-12
TX-100132,BNK-000132,418.11,GBP,2026-07-09
TX-100133,BNK-000133,147.66,EUR,2026-07-04
TX-100134,BNK-000134,235.12,USD,2026-07-19
TX-100135,BNK-000135,200.77,EUR,2026-07-03
TX-100136,BNK-000136,759.2,USD,2026-07-20
TX-100137,BNK-000137,51.94,EUR,2026-07-15
TX-100138,BNK-000138,170.13,USD,2026-07-09
TX-100139,BNK-000139,586.59,GBP,2026-07-13
TX-100140,BNK-000140,125.33,USD,2026-07-15
TX-100141,BNK-000141,179.91,EUR,2026-07-16
TX-100142,BNK-000142,44.5,GBP,2026-07-07
TX-100143,BNK-000143,249.1,EUR,2026-07-04
TX-100144,BNK-000144,502.5,GBP,2026-07-17
TX-100145,BNK-000145,129.07,USD,2026-07-11
TX-100146,BNK-000146,134.01,GBP,2026-07-08
TX-100147,BNK-000147,165.06,USD,2026-07-15
TX-100148,BNK-000148,424.62,USD,2026-07-23
TX-100149,BNK-000149,289.42,GBP,2026-07-19
TX-100150,BNK-000150,137.84,USD,2026-07-02
TX-100151,BNK-000151,167.79,EUR,2026-07-13
TX-100152,BNK-000152,684.83,EUR,2026-07-13
TX-100153,BNK-000153,391.52,EUR,2026-07-13
TX-100154,BNK-000154,334.95,EUR,2026-07-08
TX-100155,BNK-000155,147.75,EUR,2026-07-09
TX-100156,BNK-000156,582.41,USD,2026-07-15
TX-100157,BNK-000157,401.47,EUR,2026-07-04
TX-100158,BNK-000158,415.38,EUR,2026-07-02
TX-100159,BNK-000159,105.99,EUR,2026-07-22
TX-100160,BNK-000160,112.87,USD,2026-07-19
TX-100161,BNK-000161,297.54,EUR,2026-07-16
TX-100162,BNK-000162,274.76,USD,2026-07-23
TX-100163,BNK-000163,302.36,GBP,2026-07-05
TX-100164,BNK-000164,442.13,GBP,2026-07-13
TX-100165,BNK-000165,78.13,EUR,2026-07-08
TX-100166,BNK-000166,708.48,EUR,2026-07-17
TX-100167,BNK-000167,82.47,GBP,2026-07-20
TX-100168,BNK-000168,272.9,EUR,2026-07-22
TX-100169,BNK-000169,234.76,GBP,2026-07-18
TX-100170,BNK-000170,804.74,GBP,2026-07-23
TX-100171,BNK-000171,591.58,EUR,2026-07-05
TX-100172,BNK-000172,251.33,GBP,2026-07-25
TX-100173,BNK-000173,367.09,USD,2026-07-10
TX-100174,BNK-000174,371.77,EUR,2026-07-16
TX-100175,BNK-000175,294.44,USD,2026-07-14
TX-100176,BNK-000176,770.75,EUR,2026-07-15
TX-100177,BNK-000177,211.61,GBP,2026-07-08
TX-100178,BNK-000178,184.94,EUR,2026-07-22
TX-100179,BNK-000179,78.03,USD,2026-07-04
TX-100180,BNK-000180,175.68,USD,2026-07-18
TX-100181,BNK-000181,403.61,EUR,2026-07-22
TX-100182,BNK-000182,610.83,GBP,2026-07-20
TX-100183,BNK-000183,105.55,EUR,2026-07-10
TX-100184,BNK-000184,652.74,EUR,2026-07-17
TX-100185,BNK-000185,713.63,EUR,2026-07-15
TX-100186,BNK-000186,309.82,USD,2026-07-20
TX-100187,BNK-000187,327.19,EUR,2026-07-14
TX-100188,BNK-000188,359.56,EUR,2026-07-12
TX-100189,BNK-000189,215.78,GBP,2026-07-28
TX-100190,BNK-000190,503.64,EUR,2026-07-16
TX-100191,BNK-000191,409.62,EUR,2026-07-18
TX-100192,BNK-000192,327.35,EUR,2026-07-07
TX-100193,BNK-000193,458.75,USD,2026-07-23
TX-100194,BNK-000194,104.75,EUR,2026-07-25
TX-100195,BNK-000195,99.17,GBP,2026-07-19
TX-100196,BNK-000196,252.6,GBP,2026-07-03
TX-100197,BNK-000197,191.19,USD,2026-07-10
TX-100198,BNK-000198,640.08,EUR,2026-07-08
TX-100199,BNK-000199,232.7,EUR,2026-07-07
TX-100200,BNK-000200,135.97,EUR,2026-07-03
TX-100201,BNK-000201,330.19,EUR,2026-07-09
TX-100202,BNK-000202,353.63,EUR,2026-07-19
TX-100203,BNK-000203,215.48,EUR,2026-07-17
TX-100204,BNK-000204,349.69,EUR,2026-07-09
TX-100205,BNK-000205,725.21,EUR,2026-07-14
TX-100206,BNK-000206,1224.67,USD,2026-07-11
TX-100207,BNK-000207,54.78,GBP,2026-07-17
TX-100208,BNK-000208,171.45,EUR,2026-07-07
TX-100209,BNK-000209,261.07,EUR,2026-07-04
TX-100210,BNK-000210,284.86,GBP,2026-07-14
TX-100211,BNK-000211,42.58,EUR,2026-07-15
TX-100212,BNK-000212,413.14,EUR,2026-07-09
TX-100213,BNK-000213,237.41,GBP,2026-07-05
TX-100214,BNK-000214,935.68,EUR,2026-07-24
TX-100215,BNK-000215,231.12,GBP,2026-07-20
TX-100216,BNK-000216,223.72,GBP,2026-07-03
TX-100217,BNK-000217,504.81,EUR,2026-07-10
TX-100218,BNK-000218,874.78,EUR,2026-07-23
TX-100219,BNK-000219,159.7,EUR,2026-07-10
TX-100220,BNK-000220,327.21,EUR,2026-07-20
TX-100221,BNK-000221,412.19,EUR,2026-07-13
TX-100222,BNK-000222,139.2,USD,2026-07-06
TX-100223,BNK-000223,734.18,EUR,2026-07-14
TX-100224,BNK-000224,92.46,EUR,2026-07-25
TX-100225,BNK-000225,379.25,GBP,2026-07-14
TX-100226,BNK-000226,838.62,EUR,2026-07-21
TX-100227,BNK-000227,140.77,GBP,2026-07-07
TX-100228,BNK-000228,74.05,EUR,2026-07-12
TX-100229,BNK-000229,558.04,EUR,2026-07-15
TX-100230,BNK-000230,215.92,GBP,2026-07-22
TX-100231,BNK-000231,1073.03,GBP,2026-07-07
TX-100232,BNK-000232,200.41,EUR,2026-07-06
TX-100233,BNK-000233,270.74,USD,2026-07-19
TX-100234,BNK-000234,355.9,EUR,2026-07-13
TX-100235,BNK-000235,156.75,GBP,2026-07-14
TX-100236,BNK-000236,189.94,EUR,2026-07-16
TX-100237,BNK-000237,203.63,EUR,2026-07-21
TX-100238,BNK-000238,147.8,GBP,2026-07-10
TX-100239,BNK-000239,298.23,EUR,2026-07-04
TX-100240,BNK-000240,331.7,EUR,2026-07-15
TX-100241,BNK-000241,467.13,EUR,2026-07-19
TX-100242,BNK-000242,178.26,EUR,2026-07-14
TX-100243,BNK-000243,285.85,EUR,2026-07-03
TX-100244,BNK-000244,63.84,EUR,2026-07-05
TX-100245,BNK-000245,120.22,GBP,2026-07-08
TX-100246,BNK-000246,504.26,EUR,2026-07-04
TX-100247,BNK-000247,265.95,EUR,2026-07-07
TX-100248,BNK-000248,236.81,EUR,2026-07-23
TX-100249,BNK-000249,238.16,EUR,2026-07-14
TX-100250,BNK-000250,298.39,USD,2026-07-15
TX-100251,BNK-000251,102.18,USD,2026-07-18
TX-100252,BNK-000252,150.38,EUR,2026-07-23
TX-100253,BNK-000253,110.78,EUR,2026-07-15
TX-100254,BNK-000254,316.73,GBP,2026-07-23
TX-100255,BNK-000255,145.22,EUR,2026-07-05
TX-100256,BNK-000256,401.51,USD,2026-07-04
TX-100257,BNK-000257,147.31,GBP,2026-07-09
TX-100258,BNK-000258,225.54,EUR,2026-07-08
TX-100259,BNK-000259,536.46,EUR,2026-07-09
TX-100260,BNK-000260,375.93,EUR,2026-07-22
TX-100261,BNK-000261,372.2,EUR,2026-07-04
TX-100262,BNK-000262,172.91,GBP,2026-07-20
TX-100263,BNK-000263,77.08,EUR,2026-07-13
TX-100264,BNK-000264,1171.79,EUR,2026-07-16
TX-100265,BNK-000265,778.61,EUR,2026-07-04
TX-100266,BNK-000266,151.03,EUR,2026-07-03
TX-100267,BNK-000267,551.88,USD,2026-07-06
TX-100268,BNK-000268,174.08,EUR,2026-07-09
TX-100269,BNK-000269,223.98,EUR,2026-07-19
TX-100270,BNK-000270,305.52,GBP,2026-07-24
TX-100271,BNK-000271,299.7,USD,2026-07-18
TX-100272,BNK-000272,191.07,EUR,2026-07-19
TX-100273,BNK-000273,219.09,EUR,2026-07-17
TX-100274,BNK-000274,608.36,GBP,2026-07-12
TX-100275,BNK-000275,272.0,EUR,2026-07-12
TX-100276,BNK-000276,95.94,EUR,2026-07-09
TX-100277,BNK-000277,99.74,USD,2026-07-10
TX-100278,BNK-000278,509.68,EUR,2026-07-21
TX-100279,BNK-000279,513.16,EUR,2026-07-18
TX-100280,BNK-000280,52.14,USD,2026-07-23
TX-100281,BNK-000281,125.06,GBP,2026-07-21
TX-100282,BNK-000282,271.83,EUR,2026-07-05
TX-100283,BNK-000283,217.36,EUR,2026-07-15
TX-100284,BNK-000284,267.69,GBP,2026-07-13
TX-100285,BNK-000285,756.18,EUR,2026-07-23
TX-100286,BNK-000286,425.26,GBP,2026-07-16
TX-100287,BNK-000287,268.21,EUR,2026-07-08
TX-100288,BNK-000288,691.11,EUR,2026-07-23
TX-100289,BNK-000289,200.53,EUR,2026-07-19
TX-100290,BNK-000290,218.41,EUR,2026-07-19
TX-100291,BNK-000291,403.79,EUR,2026-07-06
TX-100292,BNK-000292,159.98,EUR,2026-07-21
TX-100293,BNK-000293,413.36,EUR,2026-07-22
TX-100294,BNK-000294,259.31,EUR,2026-07-13
TX-100295,BNK-000295,650.85,EUR,2026-07-24
TX-100296,BNK-000296,447.69,EUR,2026-07-21
TX-100297,BNK-000297,289.18,EUR,2026-07-17
TX-100298,BNK-000298,380.32,GBP,2026-07-14
TX-100299,BNK-000299,854.85,EUR,2026-07-17
TX-100300,BNK-000300,122.47,EUR,2026-07-09
TX-100301,BNK-000301,218.56,EUR,2026-07-11
TX-100302,BNK-000302,618.63,EUR,2026-07-15
TX-100303,BNK-000303,223.01,EUR,2026-07-09
TX-100304,BNK-000304,312.9,EUR,2026-07-02
TX-100305,BNK-000305,680.85,USD,2026-07-12
TX-100306,BNK-000306,334.49,EUR,2026-07-17
TX-100307,BNK-000307,1166.3,USD,2026-07-12
TX-100308,BNK-000308,348.52,EUR,2026-07-18
TX-100309,BNK-000309,76.57,GBP,2026-07-09
TX-100310,BNK-000310,404.09,EUR,2026-07-05
TX-100311,BNK-000311,2218.94,EUR,2026-07-08
TX-100312,BNK-000312,356.03,EUR,2026-07-19
TX-100313,BNK-000313,434.89,EUR,2026-07-15
TX-100314,BNK-000314,149.58,USD,2026-07-02
TX-100315,BNK-000315,192.46,EUR,2026-07-04
TX-100316,BNK-000316,112.79,GBP,2026-07-07
TX-100317,BNK-000317,318.04,GBP,2026-07-12
TX-100318,BNK-000318,237.57,EUR,2026-07-24
TX-100319,BNK-000319,123.15,EUR,2026-07-17
TX-100320,BNK-000320,170.08,EUR,2026-07-25
TX-100321,BNK-000321,1020.18,EUR,2026-07-22
TX-100322,BNK-000322,666.64,EUR,2026-07-25
TX-100323,BNK-000323,256.43,EUR,2026-07-04
TX-100324,BNK-000324,213.62,EUR,2026-07-11
TX-100325,BNK-000325,99.55,GBP,2026-07-11
TX-100326,BNK-000326,281.4,EUR,2026-07-02
TX-100327,BNK-000327,568.63,GBP,2026-07-02
TX-100328,BNK-000328,112.72,EUR,2026-07-17
TX-100329,BNK-000329,154.64,EUR,2026-07-25
TX-100331,BNK-000331,195.6,EUR,2026-07-13
TX-100332,BNK-000332,602.98,GBP,2026-07-07
TX-100333,BNK-000333,292.42,EUR,2026-07-06
TX-100334,BNK-000334,318.09,USD,2026-07-23
TX-100335,BNK-000335,536.53,GBP,2026-07-09
TX-100336,BNK-000336,159.21,EUR,2026-07-12
TX-100337,BNK-000337,154.88,EUR,2026-07-24
TX-100338,BNK-000338,197.54,EUR,2026-07-07
TX-100339,BNK-000339,532.0,EUR,2026-07-11
TX-100340,BNK-000340,338.62,EUR,2026-07-14
TX-100341,BNK-000341,190.78,EUR,2026-07-24
TX-100342,BNK-000342,91.56,GBP,2026-07-09
TX-100343,BNK-000343,441.94,GBP,2026-07-03
TX-100344,BNK-000344,372.59,EUR,2026-07-08
TX-100345,BNK-000345,141.76,USD,2026-07-03
TX-100346,BNK-000346,186.86,GBP,2026-07-11
TX-100347,BNK-000347,214.99,EUR,2026-07-07
TX-100348,BNK-000348,229.68,EUR,2026-07-22
TX-100349,BNK-000349,229.93,USD,2026-07-05
TX-100350,BNK-000350,162.77,EUR,2026-07-10
TX-100351,BNK-000351,237.46,EUR,2026-07-16
TX-100352,BNK-000352,302.35,GBP,2026-07-19
TX-100353,BNK-000353,305.55,EUR,2026-07-20
TX-100354,BNK-000354,99.11,EUR,2026-07-16
TX-100355,BNK-000355,123.19,EUR,2026-07-13
TX-100356,BNK-000356,86.25,EUR,2026-07-05
TX-100357,BNK-000357,158.36,EUR,2026-07-15
TX-100358,BNK-000358,182.12,EUR,2026-07-15
TX-100359,BNK-000359,803.42,GBP,2026-07-16
TX-100360,BNK-000360,562.49,USD,2026-07-05
TX-100361,BNK-000361,178.19,EUR,2026-07-15
TX-100362,BNK-000362,90.63,USD,2026-07-05
TX-100363,BNK-000363,442.05,GBP,2026-07-20
TX-100364,BNK-000364,249.13,EUR,2026-07-23
TX-100365,BNK-000365,54.77,EUR,2026-07-09
TX-100366,BNK-000366,82.37,GBP,2026-07-19
TX-100367,BNK-000367,205.22,GBP,2026-07-23
TX-100368,BNK-000368,144.99,GBP,2026-07-06
TX-100369,BNK-000369,445.92,USD,2026-07-15
TX-100370,BNK-000370,648.02,EUR,2026-07-12
TX-100371,BNK-000371,648.8,EUR,2026-07-06
TX-100372,BNK-000372,64.74,EUR,2026-07-07
TX-100373,BNK-000373,132.06,EUR,2026-07-12
TX-100374,BNK-000374,181.95,USD,2026-07-09
TX-100375,BNK-000375,109.89,GBP,2026-07-15
TX-100376,BNK-000376,477.86,USD,2026-07-18
TX-100377,BNK-000377,363.31,EUR,2026-07-04
TX-100378,BNK-000378,311.71,USD,2026-07-07
TX-100379,BNK-000379,162.66,EUR,2026-07-22
TX-100380,BNK-000380,394.15,USD,2026-07-06
TX-100381,BNK-000381,46.36,USD,2026-07-15
TX-100382,BNK-000382,233.95,EUR,2026-07-02
TX-100383,BNK-000383,325.13,USD,2026-07-07
TX-100384,BNK-000384,510.29,GBP,2026-07-08
TX-100385,BNK-000385,144.83,USD,2026-07-18
TX-100386,BNK-000386,359.79,GBP,2026-07-07
TX-100387,BNK-000387,230.98,EUR,2026-07-05
TX-100388,BNK-000388,262.33,EUR,2026-07-12
TX-100389,BNK-000389,528.06,EUR,2026-07-14
TX-100390,BNK-000390,673.53,GBP,2026-07-21
TX-100391,BNK-000391,149.57,USD,2026-07-12
TX-100392,BNK-000392,629.73,EUR,2026-07-12
TX-100393,BNK-000393,634.36,EUR,2026-07-23
TX-100394,BNK-000394,326.44,EUR,2026-07-10
TX-100395,BNK-000395,120.25,EUR,2026-07-24
TX-100396,BNK-000396,111.01,USD,2026-07-17
TX-100397,BNK-000397,182.85,EUR,2026-07-18
TX-100398,BNK-000398,719.88,EUR,2026-07-17
TX-100399,BNK-000399,116.09,EUR,2026-07-03
TX-100400,BNK-000400,199.37,EUR,2026-07-07
TX-100401,BNK-000401,790.72,EUR,2026-07-07
TX-100402,BNK-000402,414.56,GBP,2026-07-17
TX-100403,BNK-000403,58.8,EUR,2026-07-10
TX-100404,BNK-000404,707.91,EUR,2026-07-04
TX-100405,BNK-000405,773.89,EUR,2026-07-14
TX-100406,BNK-000406,526.1,EUR,2026-07-21
TX-100407,BNK-000407,113.0,EUR,2026-07-18
TX-100408,BNK-000408,399.42,EUR,2026-07-10
TX-100409,BNK-000409,545.69,EUR,2026-07-22
TX-100410,BNK-000410,470.14,GBP,2026-07-20
TX-100411,BNK-000411,320.55,GBP,2026-07-15
TX-100412,BNK-000412,846.45,EUR,2026-07-22
TX-100413,BNK-000413,690.15,EUR,2026-07-05
TX-100414,BNK-000414,91.55,EUR,2026-07-21
TX-100415,BNK-000415,141.07,EUR,2026-07-16
TX-100416,BNK-000416,80.27,EUR,2026-07-09
TX-100417,BNK-000417,193.36,EUR,2026-07-11
TX-100418,BNK-000418,767.45,EUR,2026-07-15
TX-100419,BNK-000419,128.57,USD,2026-07-23
TX-100420,BNK-000420,100.74,GBP,2026-07-25
TX-100421,BNK-000421,303.21,EUR,2026-07-19
TX-100422,BNK-000422,389.25,EUR,2026-07-24
TX-100423,BNK-000423,147.92,EUR,2026-07-24
TX-100424,BNK-000424,197.13,GBP,2026-07-14
TX-100425,BNK-000425,319.75,EUR,2026-07-03
TX-100426,BNK-000426,155.54,USD,2026-07-22
TX-100427,BNK-000427,158.53,USD,2026-07-17
TX-100428,BNK-000428,296.56,EUR,2026-07-02
TX-100429,BNK-000429,244.08,EUR,2026-07-08
TX-100430,BNK-000430,643.16,EUR,2026-07-21
TX-100431,BNK-000431,674.19,EUR,2026-07-16
TX-100432,BNK-000432,383.83,USD,2026-07-15
TX-100433,BNK-000433,321.97,EUR,2026-07-17
TX-100434,BNK-000434,304.41,EUR,2026-07-09
TX-100435,BNK-000435,93.14,EUR,2026-07-09
TX-100436,BNK-000436,138.81,GBP,2026-07-14
TX-100437,BNK-000437,178.21,EUR,2026-07-11
TX-100438,BNK-000438,257.67,GBP,2026-07-09
TX-100439,BNK-000439,421.76,EUR,2026-07-05
TX-100440,BNK-000440,308.48,USD,2026-07-09
TX-100441,BNK-000441,429.26,EUR,2026-07-11
TX-100442,BNK-000442,147.73,GBP,2026-07-05
TX-100443,BNK-000443,1495.58,EUR,2026-07-17
TX-100444,BNK-000444,324.67,USD,2026-07-11
TX-100445,BNK-000445,398.12,GBP,2026-07-14
TX-100446,BNK-000446,449.76,EUR,2026-07-16
TX-100447,BNK-000447,581.39,EUR,2026-07-10
TX-100448,BNK-000448,153.54,EUR,2026-07-20
TX-100449,BNK-000449,447.95,EUR,2026-07-22
TX-100450,BNK-000450,305.3,USD,2026-07-08
TX-100451,BNK-000451,147.11,EUR,2026-07-13
TX-100452,BNK-000452,161.56,EUR,2026-07-07
TX-100453,BNK-000453,784.96,GBP,2026-07-11
TX-100454,BNK-000454,378.29,EUR,2026-07-06
TX-100455,BNK-000455,178.39,USD,2026-07-22
TX-100456,BNK-000456,235.67,EUR,2026-07-14
TX-100457,BNK-000457,432.25,EUR,2026-07-04
TX-100458,BNK-000458,354.77,EUR,2026-07-06
TX-100459,BNK-000459,356.22,EUR,2026-07-19
TX-100460,BNK-000460,265.35,EUR,2026-07-05
TX-100461,BNK-000461,252.1,GBP,2026-07-09
TX-100462,BNK-000462,247.17,GBP,2026-07-13
TX-100463,BNK-000463,218.7,EUR,2026-07-03
TX-100464,BNK-000464,552.52,USD,2026-07-21
TX-100465,BNK-000465,423.57,EUR,2026-07-28
TX-100466,BNK-000466,70.22,EUR,2026-07-22
TX-100467,BNK-000467,293.83,EUR,2026-07-25
TX-100468,BNK-000468,150.48,EUR,2026-07-24
TX-100469,BNK-000469,806.62,USD,2026-07-06
TX-100470,BNK-000470,384.34,EUR,2026-07-24
TX-100471,BNK-000471,284.15,EUR,2026-07-08
TX-100472,BNK-000472,229.22,USD,2026-07-03
TX-100473,BNK-000473,163.41,EUR,2026-07-19
TX-100474,BNK-000474,341.15,USD,2026-07-04
TX-100475,BNK-000475,753.51,USD,2026-07-10
TX-100476,BNK-000476,171.78,GBP,2026-07-24
TX-100477,BNK-000477,563.78,USD,2026-07-14
TX-100478,BNK-000478,891.6,EUR,2026-07-05
TX-100479,BNK-000479,170.57,EUR,2026-07-25
TX-100480,BNK-000480,353.01,GBP,2026-07-24
TX-100481,BNK-000481,3529.3,EUR,2026-07-07
TX-100482,BNK-000482,192.04,EUR,2026-07-02
TX-100483,BNK-000483,235.12,GBP,2026-07-12
TX-100484,BNK-000484,781.29,USD,2026-07-09
TX-100485,BNK-000485,168.1,EUR,2026-07-19
TX-100486,BNK-000486,195.48,GBP,2026-07-13
TX-100487,BNK-000487,228.54,USD,2026-07-04
TX-100488,BNK-000488,1671.56,EUR,2026-07-21
TX-100489,BNK-000489,263.26,GBP,2026-07-16
TX-100490,BNK-000490,184.68,EUR,2026-07-06
TX-100491,BNK-000491,256.7,EUR,2026-07-07
TX-100492,BNK-000492,253.87,USD,2026-07-04
TX-100493,BNK-000493,436.3,EUR,2026-07-14
TX-100494,BNK-000494,347.13,EUR,2026-07-07
TX-100495,BNK-000495,277.89,USD,2026-07-09
TX-100496,BNK-000496,442.19,EUR,2026-07-22
TX-100497,BNK-000497,116.56,EUR,2026-07-02
TX-100498,BNK-000498,259.15,GBP,2026-07-22
TX-100499,BNK-000499,488.36,EUR,2026-07-20
TX-100500,BNK-000500,167.63,EUR,2026-07-21
TX-100502,BNK-000502,158.38,EUR,2026-07-08
TX-100503,BNK-000503,132.9,EUR,2026-07-19
TX-100504,BNK-000504,701.02,EUR,2026-07-04
