transaction_id,ledger_entry_id,ledger_amount,currency,posting_date
TX-100039,GL-000039,209.61,EUR,2026-07-21
TX-100040,GL-000040,555.79,EUR,2026-07-03
TX-100041,GL-000041,539.66,EUR,2026-07-09
TX-100042,GL-000042,519.24,EUR,2026-07-23
TX-100043,GL-000043,429.99,EUR,2026-07-09
TX-100044,GL-000044,509.98,EUR,2026-07-25
TX-100045,GL-000045,282.83,EUR,2026-07-13
TX-100046,GL-000046,742.37,EUR,2026-07-06
TX-100047,GL-000047,100.97,EUR,2026-07-22
TX-100048,GL-000048,105.5,EUR,2026-07-09
TX-100049,GL-000049,481.86,EUR,2026-07-06
TX-100050,GL-000050,107.99,USD,2026-07-14
TX-100051,GL-000051,380.86,USD,2026-07-21
TX-100052,GL-000052,120.14,EUR,2026-07-23
TX-100053,GL-000053,193.8,EUR,2026-07-19
TX-100054,GL-000054,239.56,EUR,2026-07-17
TX-100055,GL-000055,453.79,EUR,2026-07-18
TX-100056,GL-000056,370.1,EUR,2026-07-25
TX-100057,GL-000057,106.79,EUR,2026-07-08
TX-100058,GL-000058,564.1,EUR,2026-07-15
TX-100059,GL-000059,577.8,EUR,2026-07-17
TX-100060,GL-000060,222.18,EUR,2026-07-11
TX-100061,GL-000061,333.53,EUR,2026-07-08
TX-100062,GL-000062,206.62,EUR,2026-07-02
TX-100063,GL-000063,96.59,EUR,2026-07-13
TX-100064,GL-000064,208.82,EUR,2026-07-21
TX-100065,GL-000065,35.44,GBP,2026-07-22
TX-100066,GL-000066,1338.52,EUR,2026-07-11
TX-100067,GL-000067,155.79000000000002,GBP,2026-07-08
TX-100068,GL-000068,602.32,EUR,2026-07-12
TX-100069,GL-000069,313.84,GBP,2026-07-08
TX-100070,GL-000070,380.75,EUR,2026-07-23
TX-100071,GL-000071,300.2,EUR,2026-07-19
TX-100072,GL-000072,240.51,EUR,2026-07-12
TX-100073,GL-000073,267.0,USD,2026-07-17
TX-100074,GL-000074,670.34,GBP,2026-07-15
TX-100075,GL-000075,362.9,EUR,2026-07-19
TX-100076,GL-000076,805.97,USD,2026-07-10
TX-100077,GL-000077,281.57,GBP,2026-07-10
TX-100078,GL-000078,310.14,USD,2026-07-23
TX-100079,GL-000079,1086.92,GBP,2026-07-07
TX-100080,GL-000080,179.37,EUR,2026-07-15
TX-100081,GL-000081,148.12,EUR,2026-07-24
TX-100082,GL-000082,168.34,EUR,2026-07-16
TX-100083,GL-000083,81.97,EUR,2026-07-19
TX-100084,GL-000084,79.44,EUR,2026-07-05
TX-100085,GL-000085,121.25,EUR,2026-07-24
TX-100086,GL-000086,369.45,GBP,2026-07-18
TX-100087,GL-000087,70.14,EUR,2026-07-08
TX-100088,GL-000088,279.07,EUR,2026-07-04
TX-100089,GL-000089,199.72,GBP,2026-07-04
TX-100090,GL-000090,199.67,EUR,2026-07-23
TX-100091,GL-000091,70.35,EUR,2026-07-15
TX-100092,GL-000092,126.03,USD,2026-07-05
TX-100093,GL-000093,60.48,USD,2026-07-10
TX-100094,GL-000094,305.48,EUR,2026-07-10
TX-100095,GL-000095,581.99,EUR,2026-07-07
TX-100096,GL-000096,291.55,EUR,2026-07-17
TX-100097,GL-000097,582.1,GBP,2026-07-08
TX-100098,GL-000098,281.23,USD,2026-07-17
TX-100099,GL-000099,847.61,EUR,2026-07-20
TX-100100,GL-000100,179.61,EUR,2026-07-16
TX-100101,GL-000101,106.5,EUR,2026-07-09
TX-100102,GL-000102,346.5,EUR,2026-07-15
TX-100103,GL-000103,252.97,EUR,2026-07-24
TX-100104,GL-000104,417.76,USD,2026-07-07
TX-100105,GL-000105,58.84,GBP,2026-07-05
TX-100106,GL-000106,175.12,EUR,2026-07-04
TX-100107,GL-000107,170.57,GBP,2026-07-08
TX-100108,GL-000108,261.76,GBP,2026-07-08
TX-100109,GL-000109,180.88,EUR,2026-07-20
TX-100110,GL-000110,317.78,EUR,2026-07-21
TX-100111,GL-000111,196.84,EUR,2026-07-06
TX-100112,GL-000112,166.48,EUR,2026-07-07
TX-100113,GL-000113,155.16,USD,2026-07-09
TX-100114,GL-000114,179.67,EUR,2026-07-08
TX-100115,GL-000115,610.84,EUR,2026-07-14
TX-100116,GL-000116,181.72,EUR,2026-07-21
TX-100117,GL-000117,172.6,EUR,2026-07-03
TX-100118,GL-000118,948.11,EUR,2026-07-14
TX-100119,GL-000119,460.7,EUR,2026-07-23
TX-100120,GL-000120,145.3,EUR,2026-07-25
TX-100121,GL-000121,357.63,EUR,2026-07-24
TX-100122,GL-000122,305.29,EUR,2026-07-25
TX-100123,GL-000123,180.6,GBP,2026-07-29
TX-100124,GL-000124,173.84,EUR,2026-07-19
TX-100125,GL-000125,183.8,GBP,2026-07-25
TX-100126,GL-000126,588.36,EUR,2026-07-11
TX-100127,GL-000127,447.53,EUR,2026-07-05
TX-100128,GL-000128,600.41,EUR,2026-07-05
TX-100129,GL-000129,1700.86,EUR,2026-07-23
TX-100130,GL-000130,302.38,EUR,2026-07-03
TX-100131,GL-000131,180.93,EUR,2026-07-12
TX-100132,GL-000132,418.11,GBP,2026-07-09
TX-100133,GL-000133,147.66,EUR,2026-07-04
TX-100134,GL-000134,235.12,USD,2026-07-19
TX-100135,GL-000135,200.77,EUR,2026-07-03
TX-100136,GL-000136,759.2,USD,2026-07-20
TX-100137,GL-000137,51.94,EUR,2026-07-15
TX-100138,GL-000138,170.13,USD,2026-07-09
TX-100139,GL-000139,586.59,GBP,2026-07-13
TX-100140,GL-000140,125.33,USD,2026-07-15
TX-100141,GL-000141,179.91,EUR,2026-07-16
TX-100142,GL-000142,66.5,GBP,2026-07-07
TX-100143,GL-000143,249.1,EUR,2026-07-04
TX-100144,GL-000144,502.5,GBP,2026-07-17
TX-100145,GL-000145,129.07,USD,2026-07-11
TX-100146,GL-000146,134.01,GBP,2026-07-08
TX-100147,GL-000147,165.06,USD,2026-07-15
TX-100148,GL-000148,424.62,USD,2026-07-23
TX-100149,GL-000149,289.42,GBP,2026-07-19
TX-100150,GL-000150,137.84,USD,2026-07-02
TX-100151,GL-000151,167.79,EUR,2026-07-13
TX-100152,GL-000152,684.83,EUR,2026-07-13
TX-100153,GL-000153,391.52,EUR,2026-07-13
TX-100154,GL-000154,334.95,EUR,2026-07-08
TX-100155,GL-000155,147.75,EUR,2026-07-09
TX-100156,GL-000156,582.41,USD,2026-07-15
TX-100157,GL-000157,401.47,EUR,2026-07-04
TX-100158,GL-000158,415.38,EUR,2026-07-02
TX-100159,GL-000159,105.99,EUR,2026-07-22
TX-100160,GL-000160,112.87,USD,2026-07-19
TX-100161,GL-000161,297.54,EUR,2026-07-16
TX-100162,GL-000162,274.76,USD,2026-07-23
TX-100163,GL-000163,302.36,GBP,2026-07-05
TX-100164,GL-000164,442.13,GBP,2026-07-13
TX-100165,GL-000165,78.13,EUR,2026-07-08
TX-100166,GL-000166,708.48,EUR,2026-07-17
TX-100167,GL-000167,82.47,GBP,2026-07-20
TX-100168,GL-000168,272.9,EUR,2026-07-22
TX-100169,GL-000169,234.76,GBP,2026-07-18
TX-100170,GL-000170,804.74,GBP,2026-07-23
TX-100171,GL-000171,591.58,EUR,2026-07-05
TX-100172,GL-000172,251.33,GBP,2026-07-25
TX-100173,GL-000173,367.09,USD,2026-07-10
TX-100174,GL-000174,371.77,EUR,2026-07-16
TX-100175,GL-000175,294.44,USD,2026-07-14
TX-100176,GL-000176,770.75,EUR,2026-07-15
TX-100177,GL-000177,211.61,GBP,2026-07-08
TX-100178,GL-000178,184.94,EUR,2026-07-22
TX-100179,GL-000179,78.03,USD,2026-07-04
TX-100180,GL-000180,175.68,USD,2026-07-18
TX-100181,GL-000181,403.61,EUR,2026-07-22
TX-100182,GL-000182,610.83,GBP,2026-07-20
TX-100183,GL-000183,105.55,EUR,2026-07-10
TX-100184,GL-000184,652.74,EUR,2026-07-17
TX-100185,GL-000185,713.63,EUR,2026-07-15
TX-100186,GL-000186,309.82,USD,2026-07-20
TX-100187,GL-000187,327.19,EUR,2026-07-14
TX-100188,GL-000188,359.56,EUR,2026-07-12
TX-100189,GL-000189,215.78,GBP,2026-07-08
TX-100190,GL-000190,503.64,EUR,2026-07-16
TX-100191,GL-000191,409.62,EUR,2026-07-18
TX-100192,GL-000192,327.35,EUR,2026-07-07
TX-100193,GL-000193,458.75,USD,2026-07-23
TX-100194,GL-000194,104.75,EUR,2026-07-25
TX-100195,GL-000195,99.17,GBP,2026-07-19
TX-100196,GL-000196,252.6,GBP,2026-07-03
TX-100197,GL-000197,191.19,USD,2026-07-10
TX-100198,GL-000198,640.08,EUR,2026-07-08
TX-100199,GL-000199,232.7,EUR,2026-07-07
TX-100200,GL-000200,135.97,EUR,2026-07-03
TX-100201,GL-000201,330.19,EUR,2026-07-09
TX-100202,GL-000202,353.63,EUR,2026-07-19
TX-100203,GL-000203,215.48,EUR,2026-07-17
TX-100204,GL-000204,349.69,EUR,2026-07-09
TX-100205,GL-000205,725.21,EUR,2026-07-14
TX-100206,GL-000206,1224.67,USD,2026-07-11
TX-100207,GL-000207,54.78,GBP,2026-07-17
TX-100208,GL-000208,171.45,EUR,2026-07-07
TX-100209,GL-000209,261.07,EUR,2026-07-04
TX-100210,GL-000210,284.86,GBP,2026-07-14
TX-100211,GL-000211,42.58,EUR,2026-07-15
TX-100212,GL-000212,413.14,EUR,2026-07-09
TX-100213,GL-000213,237.41,GBP,2026-07-05
TX-100214,GL-000214,935.68,EUR,2026-07-24
TX-100215,GL-000215,231.12,GBP,2026-07-20
TX-100216,GL-000216,223.72,GBP,2026-07-03
TX-100217,GL-000217,504.81,EUR,2026-07-10
TX-100218,GL-000218,874.78,EUR,2026-07-23
TX-100219,GL-000219,159.7,EUR,2026-07-10
TX-100220,GL-000220,327.21,EUR,2026-07-20
TX-100221,GL-000221,412.19,EUR,2026-07-13
TX-100222,GL-000222,139.2,USD,2026-07-06
TX-100223,GL-000223,734.18,EUR,2026-07-14
TX-100224,GL-000224,92.46,EUR,2026-07-25
TX-100225,GL-000225,379.25,GBP,2026-07-14
TX-100226,GL-000226,838.62,EUR,2026-07-21
TX-100227,GL-000227,140.77,GBP,2026-07-07
TX-100228,GL-000228,74.05,EUR,2026-07-12
TX-100229,GL-000229,558.04,EUR,2026-07-15
TX-100230,GL-000230,215.92,GBP,2026-07-22
TX-100231,GL-000231,1073.03,GBP,2026-07-07
TX-100232,GL-000232,200.41,EUR,2026-07-06
TX-100233,GL-000233,270.74,USD,2026-07-19
TX-100234,GL-000234,355.9,EUR,2026-07-13
TX-100235,GL-000235,156.75,GBP,2026-07-14
TX-100236,GL-000236,189.94,EUR,2026-07-16
TX-100237,GL-000237,203.63,EUR,2026-07-21
TX-100238,GL-000238,147.8,GBP,2026-07-10
TX-100239,GL-000239,298.23,EUR,2026-07-04
TX-100240,GL-000240,331.7,EUR,2026-07-15
TX-100241,GL-000241,467.13,EUR,2026-07-19
TX-100242,GL-000242,178.26,EUR,2026-07-14
TX-100243,GL-000243,285.85,EUR,2026-07-03
TX-100244,GL-000244,63.84,EUR,2026-07-05
TX-100245,GL-000245,120.22,GBP,2026-07-08
TX-100246,GL-000246,504.26,EUR,2026-07-04
TX-100247,GL-000247,265.95,EUR,2026-07-07
TX-100248,GL-000248,236.81,EUR,2026-07-23
TX-100249,GL-000249,238.16,EUR,2026-07-14
TX-100250,GL-000250,298.39,USD,2026-07-15
TX-100251,GL-000251,102.18,USD,2026-07-18
TX-100252,GL-000252,150.38,EUR,2026-07-23
TX-100253,GL-000253,110.78,EUR,2026-07-15
TX-100254,GL-000254,316.73,GBP,2026-07-23
TX-100255,GL-000255,145.22,EUR,2026-07-05
TX-100256,GL-000256,401.51,USD,2026-07-04
TX-100257,GL-000257,147.31,GBP,2026-07-09
TX-100258,GL-000258,225.54,EUR,2026-07-08
TX-100259,GL-000259,536.46,EUR,2026-07-09
TX-100260,GL-000260,375.93,EUR,2026-07-22
TX-100261,GL-000261,372.2,EUR,2026-07-04
TX-100262,GL-000262,172.91,GBP,2026-07-20
TX-100263,GL-000263,77.08,EUR,2026-07-13
TX-100264,GL-000264,1171.79,EUR,2026-07-16
TX-100265,GL-000265,778.61,EUR,2026-07-04
TX-100266,GL-000266,151.03,EUR,2026-07-03
TX-100267,GL-000267,551.88,USD,2026-07-06
TX-100268,GL-000268,174.08,EUR,2026-07-09
TX-100269,GL-000269,223.98,EUR,2026-07-19
TX-100270,GL-000270,305.52,GBP,2026-07-24
TX-100271,GL-000271,299.7,USD,2026-07-18
TX-100272,GL-000272,191.07,EUR,2026-07-19
TX-100273,GL-000273,219.09,EUR,2026-07-17
TX-100274,GL-000274,608.36,GBP,2026-07-12
TX-100275,GL-000275,162.0,EUR,2026-07-12
TX-100276,GL-000276,95.94,EUR,2026-07-09
TX-100277,GL-000277,99.74,USD,2026-07-10
TX-100278,GL-000278,509.68,EUR,2026-07-21
TX-100279,GL-000279,513.16,EUR,2026-07-18
TX-100280,GL-000280,52.14,USD,2026-07-23
TX-100281,GL-000281,125.06,GBP,2026-07-21
TX-100282,GL-000282,271.83,EUR,2026-07-05
TX-100283,GL-000283,217.36,EUR,2026-07-15
TX-100284,GL-000284,267.69,GBP,2026-07-13
TX-100285,GL-000285,756.18,EUR,2026-07-23
TX-100286,GL-000286,425.26,GBP,2026-07-16
TX-100287,GL-000287,268.21,EUR,2026-07-08
TX-100288,GL-000288,691.11,EUR,2026-07-23
TX-100289,GL-000289,200.53,EUR,2026-07-19
TX-100290,GL-000290,218.41,EUR,2026-07-19
TX-100291,GL-000291,403.79,EUR,2026-07-06
TX-100292,GL-000292,159.98,EUR,2026-07-21
TX-100293,GL-000293,413.36,EUR,2026-07-22
TX-100294,GL-000294,259.31,EUR,2026-07-13
TX-100295,GL-000295,650.85,EUR,2026-07-24
TX-100296,GL-000296,447.69,EUR,2026-07-21
TX-100297,GL-000297,289.18,EUR,2026-07-17
TX-100298,GL-000298,380.32,GBP,2026-07-14
TX-100299,GL-000299,854.85,EUR,2026-07-17
TX-100300,GL-000300,122.47,EUR,2026-07-09
TX-100301,GL-000301,218.56,EUR,2026-07-11
TX-100302,GL-000302,618.63,EUR,2026-07-15
TX-100303,GL-000303,223.01,EUR,2026-07-09
TX-100304,GL-000304,312.9,EUR,2026-07-02
TX-100305,GL-000305,680.85,USD,2026-07-12
TX-100306,GL-000306,334.49,EUR,2026-07-17
TX-100307,GL-000307,1166.3,USD,2026-07-12
TX-100308,GL-000308,348.52,EUR,2026-07-18
TX-100309,GL-000309,76.57,GBP,2026-07-09
TX-100310,GL-000310,404.09,EUR,2026-07-05
TX-100311,GL-000311,2218.94,EUR,2026-07-08
TX-100313,GL-000313,434.89,EUR,2026-07-15
TX-100314,GL-000314,149.58,USD,2026-07-02
TX-100315,GL-000315,192.46,EUR,2026-07-04
TX-100316,GL-000316,112.79,GBP,2026-07-07
TX-100317,GL-000317,318.04,GBP,2026-07-12
TX-100318,GL-000318,237.57,EUR,2026-07-24
TX-100319,GL-000319,123.15,EUR,2026-07-17
TX-100320,GL-000320,170.08,EUR,2026-07-25
TX-100321,GL-000321,1020.18,EUR,2026-07-22
TX-100322,GL-000322,666.64,EUR,2026-07-25
TX-100323,GL-000323,256.43,EUR,2026-07-04
TX-100324,GL-000324,213.62,EUR,2026-07-11
TX-100325,GL-000325,99.55,GBP,2026-07-11
TX-100326,GL-000326,281.4,EUR,2026-07-02
TX-100327,GL-000327,568.63,GBP,2026-07-02
TX-100328,GL-000328,112.72,EUR,2026-07-17
TX-100329,GL-000329,154.64,EUR,2026-07-25
TX-100330,GL-000330,183.33,EUR,2026-07-13
TX-100331,GL-000331,195.6,EUR,2026-07-13
TX-100332,GL-000332,602.98,GBP,2026-07-07
TX-100333,GL-000333,292.42,EUR,2026-07-06
TX-100334,GL-000334,318.09,USD,2026-07-23
TX-100335,GL-000335,536.53,GBP,2026-07-09
TX-100336,GL-000336,159.21,EUR,2026-07-12
TX-100337,GL-000337,154.88,EUR,2026-07-24
TX-100338,GL-000338,197.54,EUR,2026-07-07
TX-100339,GL-000339,532.0,EUR,2026-07-11
TX-100340,GL-000340,338.62,EUR,2026-07-14
TX-100341,GL-000341,190.78,EUR,2026-07-24
TX-100342,GL-000342,91.56,GBP,2026-07-09
TX-100343,GL-000343,441.94,GBP,2026-07-03
TX-100344,GL-000344,372.59,EUR,2026-07-08
TX-100345,GL-000345,141.76,USD,2026-07-03
TX-100346,GL-000346,186.86,GBP,2026-07-11
TX-100347,GL-000347,214.99,EUR,2026-07-07
TX-100348,GL-000348,229.68,EUR,2026-07-22
TX-100349,GL-000349,229.93,USD,2026-07-05
TX-100350,GL-000350,162.77,EUR,2026-07-10
TX-100351,GL-000351,237.46,EUR,2026-07-16
TX-100352,GL-000352,302.35,GBP,2026-07-19
TX-100353,GL-000353,305.55,EUR,2026-07-20
TX-100354,GL-000354,99.11,EUR,2026-07-16
TX-100355,GL-000355,123.19,EUR,2026-07-13
TX-100356,GL-000356,86.25,EUR,2026-07-05
TX-100357,GL-000357,158.36,EUR,2026-07-15
TX-100358,GL-000358,182.12,EUR,2026-07-15
TX-100359,GL-000359,803.42,GBP,2026-07-16
TX-100360,GL-000360,562.49,USD,2026-07-05
TX-100361,GL-000361,178.19,EUR,2026-07-15
TX-100362,GL-000362,90.63,USD,2026-07-05
TX-100363,GL-000363,442.05,GBP,2026-07-20
TX-100364,GL-000364,249.13,EUR,2026-07-23
TX-100365,GL-000365,54.77,EUR,2026-07-09
TX-100366,GL-000366,51.370000000000005,GBP,2026-07-19
TX-100367,GL-000367,205.22,GBP,2026-07-23
TX-100368,GL-000368,144.99,GBP,2026-07-06
TX-100369,GL-000369,445.92,USD,2026-07-15
TX-100370,GL-000370,648.02,EUR,2026-07-12
TX-100371,GL-000371,648.8,EUR,2026-07-06
TX-100372,GL-000372,64.74,EUR,2026-07-07
TX-100373,GL-000373,132.06,EUR,2026-07-12
TX-100374,GL-000374,181.95,USD,2026-07-09
TX-100375,GL-000375,109.89,GBP,2026-07-15
TX-100376,GL-000376,477.86,USD,2026-07-18
TX-100377,GL-000377,363.31,EUR,2026-07-04
TX-100378,GL-000378,311.71,USD,2026-07-07
TX-100379,GL-000379,162.66,EUR,2026-07-22
TX-100380,GL-000380,394.15,USD,2026-07-06
TX-100381,GL-000381,46.36,USD,2026-07-15
TX-100382,GL-000382,233.95,EUR,2026-07-02
TX-100383,GL-000383,325.13,USD,2026-07-07
TX-100384,GL-000384,510.29,GBP,2026-07-08
TX-100385,GL-000385,144.83,USD,2026-07-18
TX-100386,GL-000386,359.79,GBP,2026-07-07
TX-100387,GL-000387,230.98,EUR,2026-07-05
TX-100388,GL-000388,262.33,EUR,2026-07-12
TX-100389,GL-000389,528.06,EUR,2026-07-14
TX-100390,GL-000390,673.53,GBP,2026-07-21
TX-100391,GL-000391,149.57,USD,2026-07-12
TX-100392,GL-000392,629.73,EUR,2026-07-12
TX-100393,GL-000393,634.36,EUR,2026-07-23
TX-100394,GL-000394,326.44,EUR,2026-07-10
TX-100395,GL-000395,120.25,EUR,2026-07-24
TX-100396,GL-000396,111.01,USD,2026-07-17
TX-100397,GL-000397,182.85,EUR,2026-07-18
TX-100398,GL-000398,719.88,EUR,2026-07-17
TX-100399,GL-000399,116.09,EUR,2026-07-03
TX-100400,GL-000400,199.37,EUR,2026-07-07
TX-100401,GL-000401,790.72,EUR,2026-07-07
TX-100402,GL-000402,414.56,GBP,2026-07-17
TX-100403,GL-000403,58.8,EUR,2026-07-10
TX-100404,GL-000404,707.91,EUR,2026-07-04
TX-100405,GL-000405,773.89,EUR,2026-07-14
TX-100406,GL-000406,526.1,EUR,2026-07-21
TX-100407,GL-000407,113.0,EUR,2026-07-18
TX-100408,GL-000408,399.42,EUR,2026-07-10
TX-100409,GL-000409,545.69,EUR,2026-07-22
TX-100410,GL-000410,470.14,GBP,2026-07-20
TX-100411,GL-000411,320.55,GBP,2026-07-15
TX-100412,GL-000412,846.45,EUR,2026-07-22
TX-100413,GL-000413,690.15,EUR,2026-07-05
TX-100414,GL-000414,91.55,EUR,2026-07-21
TX-100415,GL-000415,141.07,EUR,2026-07-16
TX-100416,GL-000416,80.27,EUR,2026-07-09
TX-100417,GL-000417,193.36,EUR,2026-07-11
TX-100418,GL-000418,767.45,EUR,2026-07-15
TX-100419,GL-000419,128.57,USD,2026-07-23
TX-100420,GL-000420,100.74,GBP,2026-07-25
TX-100421,GL-000421,303.21,EUR,2026-07-19
TX-100422,GL-000422,389.25,EUR,2026-07-24
TX-100423,GL-000423,147.92,EUR,2026-07-24
TX-100424,GL-000424,197.13,GBP,2026-07-14
TX-100425,GL-000425,319.75,EUR,2026-07-03
TX-100426,GL-000426,155.54,USD,2026-07-22
TX-100427,GL-000427,158.53,USD,2026-07-17
TX-100428,GL-000428,296.56,EUR,2026-07-02
TX-100429,GL-000429,244.08,EUR,2026-07-08
TX-100430,GL-000430,643.16,EUR,2026-07-21
TX-100431,GL-000431,674.19,EUR,2026-07-16
TX-100432,GL-000432,383.83,USD,2026-07-15
TX-100433,GL-000433,321.97,EUR,2026-07-17
TX-100434,GL-000434,304.41,EUR,2026-07-09
TX-100435,GL-000435,93.14,EUR,2026-07-09
TX-100436,GL-000436,138.81,GBP,2026-07-14
TX-100437,GL-000437,178.21,EUR,2026-07-11
TX-100438,GL-000438,257.67,GBP,2026-07-09
TX-100439,GL-000439,421.76,EUR,2026-07-05
TX-100440,GL-000440,308.48,USD,2026-07-09
TX-100441,GL-000441,429.26,EUR,2026-07-11
TX-100442,GL-000442,147.73,GBP,2026-07-05
TX-100443,GL-000443,1495.58,EUR,2026-07-17
TX-100444,GL-000444,324.67,USD,2026-07-29
TX-100445,GL-000445,398.12,GBP,2026-07-14
TX-100446,GL-000446,449.76,EUR,2026-07-16
TX-100447,GL-000447,581.39,EUR,2026-07-10
TX-100448,GL-000448,153.54,EUR,2026-07-20
TX-100449,GL-000449,447.95,EUR,2026-07-22
TX-100450,GL-000450,305.3,USD,2026-07-08
TX-100451,GL-000451,147.11,EUR,2026-07-13
TX-100452,GL-000452,161.56,EUR,2026-07-07
TX-100453,GL-000453,784.96,GBP,2026-07-11
TX-100454,GL-000454,378.29,EUR,2026-07-06
TX-100455,GL-000455,178.39,USD,2026-07-22
TX-100456,GL-000456,235.67,EUR,2026-07-14
TX-100457,GL-000457,432.25,EUR,2026-07-04
TX-100458,GL-000458,354.77,EUR,2026-07-06
TX-100459,GL-000459,356.22,EUR,2026-07-19
TX-100460,GL-000460,265.35,EUR,2026-07-05
TX-100461,GL-000461,252.1,GBP,2026-07-09
TX-100462,GL-000462,247.17,GBP,2026-07-13
TX-100463,GL-000463,218.7,EUR,2026-07-03
TX-100464,GL-000464,552.52,USD,2026-07-21
TX-100465,GL-000465,423.57,EUR,2026-07-22
TX-100466,GL-000466,70.22,EUR,2026-07-22
TX-100467,GL-000467,293.83,EUR,2026-07-25
TX-100468,GL-000468,150.48,EUR,2026-07-24
TX-100469,GL-000469,806.62,USD,2026-07-06
TX-100470,GL-000470,384.34,EUR,2026-07-24
TX-100471,GL-000471,284.15,EUR,2026-07-08
TX-100472,GL-000472,229.22,USD,2026-07-03
TX-100473,GL-000473,163.41,EUR,2026-07-19
TX-100474,GL-000474,341.15,USD,2026-07-04
TX-100475,GL-000475,753.51,USD,2026-07-10
TX-100476,GL-000476,171.78,GBP,2026-07-24
TX-100477,GL-000477,563.78,USD,2026-07-14
TX-100478,GL-000478,891.6,EUR,2026-07-05
TX-100479,GL-000479,170.57,EUR,2026-07-25
TX-100480,GL-000480,353.01,GBP,2026-07-24
TX-100481,GL-000481,3529.3,EUR,2026-07-07
TX-100482,GL-000482,192.04,EUR,2026-07-02
TX-100483,GL-000483,235.12,GBP,2026-07-12
TX-100484,GL-000484,781.29,USD,2026-07-09
TX-100485,GL-000485,168.1,EUR,2026-07-19
TX-100486,GL-000486,195.48,GBP,2026-07-13
TX-100487,GL-000487,228.54,USD,2026-07-04
TX-100488,GL-000488,1671.56,EUR,2026-07-21
TX-100489,GL-000489,263.26,GBP,2026-07-16
TX-100490,GL-000490,184.68,EUR,2026-07-06
TX-100491,GL-000491,256.7,EUR,2026-07-07
TX-100492,GL-000492,253.87,USD,2026-07-04
TX-100493,GL-000493,436.3,EUR,2026-07-14
TX-100494,GL-000494,347.13,EUR,2026-07-07
TX-100495,GL-000495,277.89,USD,2026-07-09
TX-100496,GL-000496,442.19,EUR,2026-07-22
TX-100497,GL-000497,116.56,EUR,2026-07-02
TX-100498,GL-000498,259.15,GBP,2026-07-22
TX-100499,GL-000499,488.36,EUR,2026-07-20
TX-100500,GL-000500,167.63,EUR,2026-07-21
TX-100501,GL-000501,125.08,EUR,2026-07-03
TX-100502,GL-000502,158.38,EUR,2026-07-08
TX-100503,GL-000503,132.9,EUR,2026-07-19
TX-100504,GL-000504,701.02,EUR,2026-07-04
TX-100505,GL-000505,333.17,USD,2026-07-04
TX-100506,GL-000506,194.68,EUR,2026-07-23
TX-100507,GL-000507,423.64,EUR,2026-07-07
TX-100508,GL-000508,818.91,USD,2026-07-09
TX-100509,GL-000509,57.59,USD,2026-07-02
TX-100510,GL-000510,228.72,EUR,2026-07-19
TX-100511,GL-000511,62.58,EUR,2026-07-02
TX-100512,GL-000512,687.93,GBP,2026-07-07
TX-100513,GL-000513,206.05,EUR,2026-07-16
TX-100514,GL-000514,217.3,EUR,2026-07-02
TX-100515,GL-000515,284.94,EUR,2026-07-19
TX-100516,GL-000516,583.66,EUR,2026-07-16
TX-100517,GL-000517,471.67,GBP,2026-07-10
TX-100518,GL-000518,523.37,GBP,2026-07-18
TX-100519,GL-000519,390.9,USD,2026-07-04
